,AAA,ACAd,ACAv,ACB,AId,AIp,AIv,AM,AON,AUDd,AUDp,AUDpo,AUDv,BLA,BST,CA1,CA3,CEA,CLA,CM,CP,DG,ECT,ENTl,ENTm,EPd,FRP,FS,GU,IAD,LD,LGd,LP,LSv,MD,MG,MOp,MOs,NDB,ORBl,ORBm,ORBvl,OT,PAA,PAR,PB,PIR,PO,POST,PRNr,PSV,PVT,PoT,ProS,RE,RSPagl,RSPd,RSPv,RT,SGN,SI,SMT,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSp-un,SSs,SUB,TEa,TR,TRN,VAL,VISC,VISa,VISal,VISam,VISl,VISli,VISp,VISpm,VISpor,VISrl,VM,VPL,VPLpc,VPM,VPMpc
AAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAd,0.0,2.081681101577928,1.4399316835043743,0.0,0.0,0.0,0.0,4.40397654440976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39331393053327673,0.0,0.0,0.0,0.9296457347195048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1897629821620304,0.0,1.798547130527268,0.0,0.0,0.9188396439469904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5023398379109338,0.0,0.0,0.0,0.0,0.4615581731933179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8560400200795478,0.0,0.0,0.0,0.0
ACAv,0.0,2.32101879660877,3.599903412406851,0.0,0.0,0.0,0.0,0.3093916959030704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7050592016347723,0.0,0.0,0.0,0.9861522994707916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652282593272285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3901128051889262,0.5340327485189721,0.6311015564422534,0.5845543694409815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24337612797998584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACB,0.0,0.0,0.0,1.6136969187752517,0.0,0.0,0.0,0.0,1.4337592500562129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9923273476979628,0.0,0.0,0.0,0.0,0.0,0.0,2.8788920096898947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44346021835857874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5049404222862832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AId,0.699578041652581,0.9003612171135713,0.4523497181920558,0.46549881540539195,1.2624792036779657,0.7235547624767199,0.8468638903854788,0.0,0.4909184902532306,0.0,0.0,0.0,0.0,1.2942229899977917,0.0,0.0,0.0,0.8549734533133146,0.735602004216843,0.5611343195684895,0.8799839467789091,0.0,0.9172608692561827,1.0516503566085154,0.9593531955787097,1.1188919047485961,1.0337789779037432,0.4477587365385802,0.956384253208034,0.0,0.0,0.0,0.0,0.0,1.561578208666668,0.0,0.9260344704633592,1.0463038310998793,0.0,1.0788818859845228,0.9086451006857582,0.7902037098587957,0.5548942313297537,0.43171052342907973,0.0,0.4260718944831057,0.532812406112405,0.0,0.4803947195761616,0.0,0.0,0.0,0.0,0.0,0.4496884752194945,0.0,1.0113499520256846,0.2533084961827948,0.0,0.0,0.2338332135049546,0.5697600812053178,0.9255130312461772,0.49173329596281545,0.790257735262757,1.3749197588703996,0.3604021797009029,1.161282371505297,1.1584336895612957,0.8894889709284315,0.0,0.6538559368837895,0.4517914722581474,0.0,0.0,1.4352056822439616,0.0,0.0,0.0,0.8326425306188411,0.5782640408283581,1.4799380047785757,0.0,1.173375253292702,0.0,0.5638080603089571,0.0,0.0,0.0,0.5889207593100231
AIp,0.0,0.9741963677621123,1.1322173485609768,0.0,0.4803947195761616,0.5991172707773327,0.18393972058572114,0.0,0.0,0.18393972058572114,0.0,0.5705927688855744,0.0,0.0,0.0,0.0,0.0,0.0,0.8223671578820828,0.0,0.48749422189180897,0.0,0.40856576905482656,1.0395264761565866,0.3943609695240406,0.9232855338016398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0116742667430576,0.0,0.0,0.0,0.0,0.0,0.0,0.42420329277117846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7024463009841643,0.7895207273706594,0.6239286317444541,0.0,0.0,0.0,0.0,0.5853712132162211,0.0,0.0,0.0,0.5958205303101156,0.0,0.0,0.5363471605995885,0.0,0.904423585148756,0.0,0.0,0.0,0.4615581731933179,0.0,0.7187234731467314,0.37242310329617134,0.5606655764875887,0.4231399376404218,0.8706976507201302,0.8285262825584009,1.025041308068903,0.5,0.0,0.0,0.0,0.0,0.0
AIv,0.4894421923505785,0.0,0.0,0.4771636810387686,1.066182243712886,0.0,1.7048864857328836,0.0,0.6688854151609457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999832465005524,0.7474562713972075,0.0,0.0,0.0,0.0,0.6548138010939193,0.0,0.0,1.10121116582905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191446442987556,0.0,1.5417554002816192,1.6568077442915705,0.7744072124461461,0.7736222636250826,0.0,0.0,0.0,2.735651699852066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41743583305141,0.0,0.0,0.0,0.0,0.0,1.8072365217140929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,0.0,0.4966846241627806,1.5116566781123677,0.0,0.0,0.0,0.0,1.3771807666884242,1.4641557354712411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5531182887713272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2442134889999377,0.0,1.211379423587129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615581731933179,0.0,0.0,0.0,0.40860420264433195,0.0,0.0,1.4803947195761615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AON,0.0,0.0,0.0,0.6553023500454304,0.0,0.0,0.0,0.0,0.8136799217383383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7967181962111376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5397682928926026,0.0,0.0,0.0,0.9128880354138811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524962686106178,1.021408881080517,0.6143637503177278,2.1784157695477897,0.0,0.0,0.0,0.528114809438153,0.0,0.0,0.0,0.705100460307432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8980444055058568,0.6456915292519908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8584269490696919,0.0,0.0,0.0,0.0,0.0,0.0,0.5772135305359876,0.9448775684623396,0.8338527999655266,0.4093653765389909,1.336776505862516,0.6080119538746431,0.0,2.040730652014344,0.0,0.6034818932507109,0.0,0.0,0.0,1.1903271309087238,0.7114037038407532,0.0,0.9048912385002673,0.0,0.0,0.0,0.0,0.0,1.7465928772706218,0.0,0.0,0.0,0.0,0.0
