target_cell,1,2,3,4,5,6,7,8,9,10
SEU-ALLEN_local_15257_12743_28033_3160_CCFv3.swc,0,0,0,1,0,0,0,0,0,0
SEU-ALLEN_local_15257_12749_28823_3088_CCFv3.swc,0,0,2,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12750_27682_3064_CCFv3.swc,0,0,0,1,0,0,0,0,0,0
SEU-ALLEN_local_15257_12884_10214_3416_CCFv3.swc,0,1,0,1,0,2,0,0,0,0
SEU-ALLEN_local_15257_12912_9604_3501_CCFv3.swc,0,0,0,0,1,0,0,0,0,0
SEU-ALLEN_local_15257_13119_10912_3130_CCFv3.swc,0,1,1,2,3,1,0,0,0,0
SEU-ALLEN_local_15257_13280_28857_3256_CCFv3.swc,0,0,0,0,1,0,0,0,1,0
SEU-ALLEN_local_15257_13469_11303_2853_CCFv3.swc,0,0,1,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13513_28991_3301_CCFv3.swc,0,0,1,0,1,0,0,0,0,0
SEU-ALLEN_local_15257_13595_9422_4504_CCFv3.swc,0,0,0,0,0,1,0,0,0,0
SEU-ALLEN_local_15257_13631_11294_2921_CCFv3.swc,0,0,0,0,2,0,0,0,0,0
SEU-ALLEN_local_15257_14265_10754_5174_CCFv3.swc,0,0,1,0,3,0,0,0,0,0
SEU-ALLEN_local_15257_14504_28377_3732_CCFv3.swc,0,1,3,0,5,2,0,0,0,0
SEU-ALLEN_local_15257_14632_27518_3235_CCFv3.swc,0,3,2,2,1,0,0,0,0,0
SEU-ALLEN_local_15257_14799_10531_3703_CCFv3.swc,0,0,0,0,1,4,5,1,0,0
SEU-ALLEN_local_15257_14803_10486_3669_CCFv3.swc,0,0,3,1,0,1,1,1,0,0
SEU-ALLEN_local_15257_14855_12593_3338_CCFv3.swc,0,2,0,0,1,1,1,0,0,0
SEU-ALLEN_local_15257_14868_29130_5287_CCFv3.swc,1,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14897_28445_4475_CCFv3.swc,0,0,4,3,0,0,0,0,0,0
SEU-ALLEN_local_15257_14968_27312_3235_CCFv3.swc,0,0,3,0,2,0,0,0,0,0
SEU-ALLEN_local_15257_14996_28572_5669_CCFv3.swc,0,0,0,0,2,0,0,0,0,0
SEU-ALLEN_local_15257_15049_27133_2900_CCFv3.swc,0,0,0,0,1,0,0,0,0,0
SEU-ALLEN_local_15257_15052_28940_5133_CCFv3.swc,0,1,0,2,2,0,0,0,0,0
SEU-ALLEN_local_15257_15053_12486_3528_CCFv3.swc,0,0,0,1,0,0,0,2,0,0
SEU-ALLEN_local_15257_15129_29046_5118_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15196_11700_4958_CCFv3.swc,1,0,0,0,1,0,1,0,0,0
SEU-ALLEN_local_15257_15298_28113_4686_CCFv3.swc,0,0,0,2,2,3,0,0,1,1
SEU-ALLEN_local_15257_15302_9109_4835_CCFv3.swc,0,1,1,0,0,1,0,0,0,0
SEU-ALLEN_local_15257_15321_27318_3990_CCFv3.swc,0,0,0,1,0,0,4,0,0,0
SEU-ALLEN_local_15257_15378_11993_3984_CCFv3.swc,0,0,0,1,2,0,0,0,0,0
SEU-ALLEN_local_15257_15381_12094_3872_CCFv3.swc,1,1,0,1,2,1,0,0,0,0
SEU-ALLEN_local_15257_15500_10841_5521_CCFv3.swc,0,0,5,3,0,0,0,0,0,0
SEU-ALLEN_local_15257_15563_26126_4220_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15568_10825_5421_CCFv3.swc,0,8,2,3,0,0,0,0,0,0
SEU-ALLEN_local_15257_15593_28905_5249_CCFv3.swc,3,0,3,1,6,1,1,0,0,0
SEU-ALLEN_local_15257_15636_28916_5111_CCFv3.swc,0,2,0,0,0,1,0,0,1,0
SEU-ALLEN_local_15257_15751_28669_5904_CCFv3.swc,0,1,0,1,3,1,0,1,0,0
SEU-ALLEN_local_15257_15824_12208_4314_CCFv3.swc,0,1,0,3,1,0,2,2,0,0
SEU-ALLEN_local_15257_15942_28449_5729_CCFv3.swc,0,6,1,2,0,0,1,0,2,0
SEU-ALLEN_local_15257_16068_28550_5670_CCFv3.swc,0,3,1,9,3,0,4,3,3,0
SEU-ALLEN_local_15257_16077_10465_5693_CCFv3.swc,0,0,0,1,0,0,0,0,0,0
SEU-ALLEN_local_15257_16090_29212_5164_CCFv3.swc,0,0,0,2,0,0,1,0,0,0
SEU-ALLEN_local_15257_16327_27667_5763_CCFv3.swc,2,3,4,1,0,0,0,0,0,0
SEU-ALLEN_local_15257_16330_10908_4709_CCFv3.swc,0,0,1,4,4,0,0,0,0,0
SEU-ALLEN_local_15257_16516_27930_3760_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16530_28911_5380_CCFv3.swc,0,0,0,0,0,0,0,2,0,0
SEU-ALLEN_local_15257_16645_26603_5101_CCFv3.swc,0,0,0,0,0,0,1,1,0,0
SEU-ALLEN_local_15257_16745_26653_5012_CCFv3.swc,0,3,3,2,0,6,1,4,0,0
SEU-ALLEN_local_15257_16771_27237_4926_CCFv3.swc,1,0,4,0,1,0,0,2,0,0
SEU-ALLEN_local_15257_16832_27844_4823_CCFv3.swc,0,0,1,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16834_26686_5319_CCFv3.swc,1,5,3,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16998_26668_5225_CCFv3.swc,2,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17088_26447_4917_CCFv3.swc,0,0,0,5,0,3,0,0,0,0
SEU-ALLEN_local_15257_17093_13230_4170_CCFv3.swc,4,1,4,0,5,1,0,0,0,0
SEU-ALLEN_local_15257_17143_14401_5339_CCFv3.swc,0,0,1,0,0,1,0,0,0,0
SEU-ALLEN_local_15257_17341_25071_5102_CCFv3.swc,0,0,0,1,1,5,2,0,0,0
SEU-ALLEN_local_15257_17350_12616_4989_CCFv3.swc,0,2,0,0,0,0,0,0,0,1
SEU-ALLEN_local_15257_17374_25145_5161_CCFv3.swc,0,0,0,0,0,1,0,0,0,0
SEU-ALLEN_local_15257_17567_23482_4943_CCFv3.swc,0,0,0,0,0,1,0,0,0,0
SEU-ALLEN_local_15257_17748_24715_5117_CCFv3.swc,0,1,0,0,1,1,0,0,0,0
SEU-ALLEN_local_15257_17775_14422_5001_CCFv3.swc,0,0,0,0,1,0,0,0,0,0
SEU-ALLEN_local_15257_17818_14379_5012_CCFv3.swc,0,1,0,0,1,1,4,1,0,0
SEU-ALLEN_local_15257_17841_14007_4922_CCFv3.swc,0,0,1,1,0,0,0,0,0,0
SEU-ALLEN_local_15257_17848_24833_5234_CCFv3.swc,0,0,0,0,1,3,4,1,3,0
SEU-ALLEN_local_15257_18166_22293_4683_CCFv3.swc,0,0,0,0,0,2,0,0,0,0
SEU-ALLEN_local_17051_9907_6626_3670_CCFv3.swc,0,0,0,0,4,2,0,0,0,0
SEU-ALLEN_local_17052_10781_4918_4557_CCFv3.swc,0,2,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_21996_2746_4846_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
