,source_region_id,target_region_id,path_length,source_region,target_region
0,75,75,0,TMv,TMv
1,75,202,1,TMv,PMv
2,75,309,2,TMv,LM
3,75,23,2,TMv,TMd
4,75,48,3,TMv,PMd
5,75,282,3,TMv,MM
6,75,108,3,TMv,SUM
7,202,202,0,PMv,PMv
8,202,75,1,PMv,TMv
9,202,309,1,PMv,LM
10,202,23,1,PMv,TMd
11,202,48,2,PMv,PMd
12,202,282,2,PMv,MM
13,202,108,2,PMv,SUM
14,17,17,0,IC,IC
15,17,116,1,IC,APr
16,17,96,2,IC,SIM
17,17,193,2,IC,SCs
18,17,37,2,IC,RSPagl
19,17,74,2,IC,RSPd
20,17,238,2,IC,POST
21,17,175,2,IC,RSPv
22,17,145,2,IC,VISp
23,17,119,2,IC,VISpl
24,17,249,2,IC,PRE
25,17,40,3,IC,IG
26,17,130,3,IC,HATA
27,17,35,3,IC,FC
28,17,224,4,IC,ProS
29,17,99,4,IC,CA3
30,17,134,4,IC,COAp
31,17,167,4,IC,CA1
32,17,77,4,IC,PA
33,17,271,4,IC,CA2
34,17,303,4,IC,SUB
35,17,210,4,IC,TR
36,17,144,4,IC,PAR
37,17,19,4,IC,ENTl
38,17,53,4,IC,DG
39,17,60,4,IC,ENTm
40,17,26,5,IC,SFO
41,17,100,5,IC,PERI
42,17,90,5,IC,MPT
43,17,8,5,IC,ECT
44,17,297,5,IC,VISli
45,17,296,5,IC,VISpor
46,17,15,5,IC,TRS
47,17,113,5,IC,TEa
48,17,148,5,IC,PPT
49,17,153,5,IC,OP
50,17,250,5,IC,VISl
51,17,125,5,IC,NOT
52,17,127,5,IC,EPv
53,17,136,6,IC,PAA
54,17,47,6,IC,VISal
55,17,117,6,IC,AUDpo
56,17,183,6,IC,DT
57,17,158,6,IC,COAa
58,17,172,7,IC,AUDv
59,17,305,7,IC,BA
60,17,180,7,IC,AUDp
61,17,86,7,IC,AUDd
62,17,246,7,IC,NLOT
63,116,116,0,APr,APr
64,116,96,1,APr,SIM
65,116,193,1,APr,SCs
66,116,37,1,APr,RSPagl
67,116,74,1,APr,RSPd
68,116,238,1,APr,POST
69,116,175,1,APr,RSPv
70,116,17,1,APr,IC
71,116,145,1,APr,VISp
72,116,119,1,APr,VISpl
73,116,249,1,APr,PRE
74,116,40,2,APr,IG
75,116,130,2,APr,HATA
76,116,35,2,APr,FC
77,116,224,3,APr,ProS
78,116,99,3,APr,CA3
79,116,134,3,APr,COAp
80,116,167,3,APr,CA1
81,116,77,3,APr,PA
82,116,271,3,APr,CA2
83,116,303,3,APr,SUB
84,116,210,3,APr,TR
85,116,144,3,APr,PAR
86,116,19,3,APr,ENTl
87,116,53,3,APr,DG
88,116,60,3,APr,ENTm
89,116,26,4,APr,SFO
90,116,100,4,APr,PERI
91,116,90,4,APr,MPT
92,116,8,4,APr,ECT
93,116,297,4,APr,VISli
94,116,296,4,APr,VISpor
95,116,15,4,APr,TRS
96,116,113,4,APr,TEa
97,116,148,4,APr,PPT
98,116,153,4,APr,OP
99,116,250,4,APr,VISl
100,116,125,4,APr,NOT
101,116,127,4,APr,EPv
102,116,136,5,APr,PAA
103,116,47,5,APr,VISal
104,116,117,5,APr,AUDpo
105,116,183,5,APr,DT
106,116,158,5,APr,COAa
107,116,172,6,APr,AUDv
108,116,305,6,APr,BA
109,116,180,6,APr,AUDp
110,116,86,6,APr,AUDd
111,116,246,6,APr,NLOT
112,248,248,0,PSV,PSV
113,248,187,1,PSV,I5
114,248,232,2,PSV,SUT
115,248,79,2,PSV,SPVO
116,248,185,2,PSV,V
117,248,184,2,PSV,PC5
118,248,223,2,PSV,PARN
119,248,196,3,PSV,P5
120,248,302,3,PSV,SOC
121,248,240,3,PSV,NLL
122,248,209,3,PSV,IRN
123,248,112,3,PSV,ISN
124,248,156,3,PSV,Acs5
125,248,276,4,PSV,SLC
126,248,120,4,PSV,PBG
127,187,187,0,I5,I5
128,187,232,1,I5,SUT
129,187,79,1,I5,SPVO
130,187,248,1,I5,PSV
131,187,185,1,I5,V
132,187,184,1,I5,PC5
133,187,223,1,I5,PARN
134,187,196,2,I5,P5
135,187,302,2,I5,SOC
136,187,240,2,I5,NLL
137,187,209,2,I5,IRN
138,187,112,2,I5,ISN
139,187,156,2,I5,Acs5
140,187,276,3,I5,SLC
141,187,120,3,I5,PBG
142,71,71,0,IF,IF
143,71,114,1,IF,PN
144,71,2,2,IF,IPN
145,71,166,2,IF,PRNr
146,71,105,2,IF,VTA
147,71,142,2,IF,CS
148,71,170,3,IF,MT
149,114,114,0,PN,PN
150,114,2,1,PN,IPN
151,114,166,1,PN,PRNr
152,114,71,1,PN,IF
153,114,105,1,PN,VTA
154,114,142,1,PN,CS
155,114,170,2,PN,MT
156,56,56,0,PT,PT
157,56,281,1,PT,Xi
158,56,128,2,PT,PR
159,56,132,2,PT,PVi
160,56,261,2,PT,RH
161,56,101,2,PT,PVT
162,56,72,2,PT,RE
163,56,264,2,PT,SPFm
164,56,301,2,PT,CM
165,56,241,2,PT,PH
166,56,214,2,PT,SMT
167,56,122,2,PT,IAM
168,56,257,3,PT,PCN
169,56,231,3,PT,VM
170,56,135,3,PT,MD
171,56,304,3,PT,SPA
172,56,177,3,PT,PSTN
173,56,306,3,PT,IMD
174,56,82,3,PT,AM
175,56,219,3,PT,IAD
176,56,129,4,PT,RT
177,56,98,4,PT,AV
178,56,102,4,PT,SF
179,56,298,4,PT,CL
180,56,181,4,PT,AD
181,56,277,4,PT,VAL
182,56,55,4,PT,LD
183,281,281,0,Xi,Xi
184,281,128,1,Xi,PR
185,281,132,1,Xi,PVi
186,281,261,1,Xi,RH
187,281,101,1,Xi,PVT
188,281,72,1,Xi,RE
189,281,264,1,Xi,SPFm
190,281,301,1,Xi,CM
191,281,241,1,Xi,PH
192,281,214,1,Xi,SMT
193,281,56,1,Xi,PT
194,281,122,1,Xi,IAM
195,281,257,2,Xi,PCN
196,281,231,2,Xi,VM
197,281,135,2,Xi,MD
198,281,304,2,Xi,SPA
199,281,177,2,Xi,PSTN
200,281,306,2,Xi,IMD
201,281,82,2,Xi,AM
202,281,219,2,Xi,IAD
