,local vascular length,number of bifurcation,radii,log_length,log_bif
FRP,412.3622222222222,10273.888888888889,8.802222222222222,2.615278871373996,4.011734864561049
MO,659.1455555555555,18844.777777777777,8.131111111111112,2.818981328090936,4.275191020509216
SS,782.5355555555557,24794.666666666668,8.322222222222221,2.893504079420747,4.39435827411935
GU,728.9277777777778,21484.555555555555,8.987777777777776,2.862684500517715,4.332126373995431
VISC,661.6133333333333,18828.0,8.61111111111111,2.820604248864236,4.274804189634562
AUD,746.2977777777776,21675.11111111111,8.152222222222223,2.872912148440326,4.335961332437464
VIS,661.0377777777778,18345.444444444445,8.077777777777778,2.8202262797755107,4.263528237619992
ACA,627.2511111111112,16667.555555555555,9.288888888888888,2.797441439295531,4.221871911371084
PL,611.8055555555555,15530.0,8.575555555555555,2.7866134163167984,4.191171455728559
ILA,579.61,13089.666666666666,8.782222222222222,2.7631358697379818,4.116928587217637
ORB,704.2655555555556,19359.444444444445,8.33,2.84773644829868,4.286892890256773
AI,630.4033333333332,16540.555555555555,8.551111111111112,2.7996185008718,4.218550092318113
RSP,671.8411111111111,19225.777777777777,8.394444444444444,2.827266575543783,4.283883918188133
PTLp,607.55,16836.333333333332,8.07,2.78358202520127,4.226247515519453
TEa,624.6,15949.444444444443,8.005555555555555,2.79560197989418,4.202745560188548
PERI,502.5033333333333,11285.666666666666,8.133333333333333,2.701138946975057,4.052527218806151
ECT,537.8455555555556,12251.111111111111,8.091111111111111,2.7306575842177008,4.088175478703925
OLF,568.5955555555555,16945.777777777777,8.593333333333334,2.754803460691671,4.229061506891019
AOB,582.5344444444444,16312.888888888889,8.818888888888889,2.7653216096807043,4.212530878109811
AON,627.3833333333334,16372.555555555557,8.412222222222221,2.7975329773239395,4.2141164727566816
TT,523.651111111111,13450.444444444443,9.545555555555556,2.7190420293802435,4.128736635013572
DP,556.2666666666667,12840.111111111111,8.675555555555556,2.7452830363627934,4.108568781889661
PIR,629.3366666666666,17316.777777777777,8.585555555555553,2.7988830355248653,4.238467083783021
COA,423.0244444444445,9610.222222222224,8.813333333333334,2.626365463783091,3.982733430204345
PAA,414.8255555555556,9806.111111111111,8.814444444444444,2.6178655034905907,3.9914968098431647
TR,477.88444444444457,10753.333333333334,8.554444444444444,2.6793228940866207,4.03154310833328
CA,467.84777777777776,10289.888888888889,10.453333333333337,2.6701045709697326,4.012410685238335
ENT,546.3422222222222,14221.777777777776,8.324444444444445,2.7374647648007886,4.152953888293922
PAR,628.5022222222223,18987.88888888889,8.45111111111111,2.7983068175782893,4.278476681700019
POST,677.8166666666667,18828.0,9.263333333333332,2.8311122433924405,4.274804189634562
PRE,704.9822222222223,19673.666666666668,10.40111111111111,2.8481781653770195,4.29388530881098
SUB,640.4611111111111,16819.0,8.634444444444444,2.80649276445916,4.225800170570545
ProS,431.7611111111111,10363.888888888889,8.33,2.635243522689183,4.015522748273542
CLA,573.5466666666666,13599.777777777776,8.72888888888889,2.7585687600773627,4.133531811997177
EP,522.188888888889,11653.333333333334,8.665555555555555,2.717827626687268,4.066450169242703
LA,431.88444444444445,8429.777777777777,8.548888888888888,2.6353675619692347,3.9258161260889257
BLA,486.9144444444444,10274.555555555557,8.68,2.687452658196476,4.011763044762765
BMA,513.6677777777778,11499.222222222224,8.904444444444444,2.710682323419073,4.060668466786637
PA,534.1777777777777,12684.777777777776,8.446666666666665,2.727685817063811,4.103282863301523
CP,511.7622222222222,11885.555555555557,8.642222222222223,2.709068223548089,4.075019486364851
ACB,491.9066666666666,11771.888888888889,8.117777777777778,2.6918827084648536,4.0708461542795815
LS,384.4988888888889,7224.333333333333,8.06,2.584895089130632,3.85879777627105
AAA,489.34,11154.444444444443,9.15,2.689610717638639,4.047447944792828
GPe,440.60777777777776,9133.888888888889,8.404444444444445,2.644052159215468,3.960655724236612
MA,483.0155555555556,11089.777777777776,8.377777777777778,2.6839611174661204,4.044922843637725
MS,517.6411111111112,12942.111111111111,8.833333333333332,2.7140287607434983,4.112005124023918
BS,485.9177777777778,10800.555555555557,8.21,2.6865627884426138,4.033446095163502
DORsm,571.6355555555555,13728.333333333334,8.28,2.757119233942128,4.1376178156000405
HY,500.2166666666666,11848.555555555557,8.518888888888888,2.6991581578478594,4.073665409207922
ARH,415.2188888888889,9344.888888888889,8.585555555555556,2.61827710195413,3.970574141966396
AHN,498.0133333333333,11696.666666666666,8.50111111111111,2.6972409703010336,4.068062113495744
MB,550.5600000000001,13286.888888888889,8.31777777777778,2.740804655276855,4.123423303248254
IC,694.9511111111112,20146.11111111111,8.38111111111111,2.841954253623954,4.304191224869949
P,320.5155555555556,7043.555555555556,8.565555555555555,2.505849111945324,3.847791944419128
CS,455.7311111111111,9851.777777777776,7.795555555555556,2.6587086773046003,3.99351460708776
MY,333.8922222222222,8559.555555555555,8.399999999999999,2.5236063025964124,3.932451215053227
CB,421.2066666666667,11093.444444444443,8.774444444444445,2.6244952363824736,4.045066412781906
