AGE,Cerebellum,CorticalSubplate,HippocampalFormation,Hypothalamus,Isocortex,Midbrain,Medulla,OlfactoryAreas,Pallidum,Pons,Striatum,Thalamus,FibreTracts,Cerebellum_ANcr1gr,Cerebellum_ANcr1mo,Cerebellum_ANcr2gr,Cerebellum_ANcr2mo,Cerebellum_CENT2gr,Cerebellum_CENT2mo,Cerebellum_CENT3gr,Cerebellum_CENT3mo,Cerebellum_COPYgr,Cerebellum_COPYmo,"Cerebellum_CUL4,5gr","Cerebellum_CUL4,5mo",Cerebellum_DECgr,Cerebellum_DECmo,Cerebellum_FN,Cerebellum_FOTUgr,Cerebellum_FOTUmo,Cerebellum_IP,Cerebellum_NODgr,Cerebellum_NODmo,Cerebellum_PRMgr,Cerebellum_PRMmo,Cerebellum_PYRgr,Cerebellum_PYRmo,Cerebellum_SIMgr,Cerebellum_SIMmo,Cerebellum_UVUgr,Cerebellum_UVUmo,CorticalSubplate_CLA,CorticalSubplate_EPd,HippocampalFormation_CA1slm,HippocampalFormation_CA1so,HippocampalFormation_CA1sp,HippocampalFormation_CA1sr,HippocampalFormation_CA2slm,HippocampalFormation_CA2so,HippocampalFormation_CA2sp,HippocampalFormation_CA2sr,HippocampalFormation_CA3slm,HippocampalFormation_CA3slu,HippocampalFormation_CA3so,HippocampalFormation_CA3sp,HippocampalFormation_CA3sr,HippocampalFormation_DGgrInf,HippocampalFormation_DGgrSup,HippocampalFormation_DGmoInf,HippocampalFormation_DGmoSup,HippocampalFormation_DGmoV,HippocampalFormation_DGpo,HippocampalFormation_DGpoV,HippocampalFormation_DGspV,HippocampalFormation_SUB,Hypothalamus_LHA,Hypothalamus_LM,Hypothalamus_LPO,Hypothalamus_PSTN,Hypothalamus_SO,Hypothalamus_STN,Hypothalamus_ZI,Isocortex_FRP,Isocortex_MO,Isocortex_ORB,Isocortex_PTLp,Isocortex_RSPd,Isocortex_RSPv,Isocortex_SS,Isocortex_VIS,Midbrain_APN,Midbrain_CUN,Midbrain_IC,Midbrain_MEV,Midbrain_MRN,Midbrain_NOT,Midbrain_PAG,Midbrain_PPN,Midbrain_PPT,Midbrain_RN,Midbrain_RR,Midbrain_SCm,Midbrain_SCs,Midbrain_SNc,Midbrain_SNr,Midbrain_VTA,Medulla_AMB,Medulla_CU,Medulla_ECU,Medulla_GRN,Medulla_IO,Medulla_IRN,Medulla_LAV,Medulla_LI,Medulla_LRN,Medulla_MDRN,Medulla_MV,Medulla_MX,Medulla_NTS,Medulla_PARN,Medulla_PGRNl,Medulla_SOL,Medulla_SPIV,Medulla_SPVC,Medulla_SPVI,Medulla_SPVO,Medulla_SUV,Medulla_VII,Medulla_X,OlfactoryAreas_AOBgl,OlfactoryAreas_AOBgr,OlfactoryAreas_AOBmi,OlfactoryAreas_AON1,OlfactoryAreas_AON2,OlfactoryAreas_MOBgl,OlfactoryAreas_MOBgr,OlfactoryAreas_MOBipl,OlfactoryAreas_MOBmi,OlfactoryAreas_MOBopl,OlfactoryAreas_PIR1,OlfactoryAreas_PIR2,OlfactoryAreas_PIR3,Pallidum_BST,Pallidum_GPi,Pallidum_MA,Pallidum_NDB,Pallidum_SI,Pons_LAV,Pons_LC,Pons_NLL,Pons_PB,Pons_PG,Pons_PRNc,Pons_PRNr,Pons_SOC,Pons_SUT,Pons_TRN,Pons_V,Striatum_ACBc,Striatum_ACBsh,Striatum_CP,Striatum_FS,Striatum_isl,Striatum_OT1,Striatum_OT2,Striatum_OT3,Thalamus_AD,Thalamus_AV,Thalamus_LD,Thalamus_LP,Thalamus_PF,Thalamus_PO,Thalamus_RT,Thalamus_SPFp,Thalamus_VAL,Thalamus_VM,Thalamus_VPL,Thalamus_VPM,Thalamus_VPMpc
1,4.10875,3.24375,3.0275,7.3525,2.595,9.29875,,2.81125,4.97375,10.8125,0.865,9.29875,0.4325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.2975,2.919375,1.08125,2.595,1.94625,3.0275,3.46,4.325,1.94625,2.81125,0.4325,3.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.51375,1.73,0.4325,3.0275,0.865,3.24375,5.40625,1.94625,3.0275,3.46,0.4325,3.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.81125,1.73,1.51375,3.0275,2.1625,4.97375,7.785,1.94625,2.81125,5.6225,0.4325,5.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.325,9.0825,6.595625,12.5425,6.055,11.89375,17.3,8.00125,8.86625,12.975,4.54125,12.32625,0.64875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.43375,19.03,32.87,12.5425,21.1925,21.40875,17.51625,16.0025,10.59625,18.5975,22.0575,19.895,,,,,,,,8.43375,12.001875,,,8.2175,8.65,8.86625,7.3525,0.64875,8.2175,4.54125,12.11,7.56875,3.0275,,,8.65,6.595625,,,9.0825,3.0275,8.541875,19.67875,63.469375,36.11375,12.5425,53.954375,75.47125,59.2525,11.02875,48.0075,86.28375,19.4625,24.00375,4.325,49.08875,1.94625,2.37875,43.6825,74.714375,,12.32625,,,30.05875,11.89375,,11.02875,,8.974375,19.4625,17.08375,25.409375,22.49,23.13875,22.9225,17.08375,25.5175,23.463125,16.65125,19.24625,18.81375,25.5175,,19.03,21.84125,,22.0575,29.950625,,23.7875,26.59875,24.00375,20.11125,11.6775,,,,,,,,9.406875,,17.840625,,10.38,19.786875,,17.51625,13.84,,,23.13875,25.5175,20.11125,,9.9475,18.81375,,,,49.7375,12.75875,15.35375,9.515,19.24625,9.9475,40.655,43.25,13.19125,21.40875,,6.70375,14.05625,15.57,9.9475,,,16.0025,25.5175,,15.1375,18.38125,,,,27.03125,17.08375,29.8425,22.0575,16.8675,16.0025,42.8175,22.27375,36.11375,,13.083125,17.7325,22.27375,,20.219375,23.13875,19.895,12.11,29.8425,21.1925,20.76,
8,11.46125,42.16875,51.9,21.625,36.7625,29.19375,23.57125,33.08625,23.13875,24.22,40.655,30.92375,,,,,,,,11.46125,15.35375,,,10.8125,10.38,10.16375,7.56875,4.865625,12.11,12.75875,16.21875,13.62375,11.46125,,,13.84,13.083125,,,13.19125,8.43375,33.51875,44.33125,74.17375,64.22625,9.9475,70.389375,84.98625,71.795,11.6775,64.01,99.475,25.085,68.7675,5.40625,66.605,1.08125,2.1625,62.171875,85.41875,,15.78625,,,42.8175,21.625,,19.03,26.815,10.38,,27.03125,42.60125,44.115,40.87125,,,,,,31.35625,28.004375,33.08625,,24.00375,25.841875,,28.545,31.78875,,25.30125,33.08625,34.81625,18.38125,23.13875,,24.43625,26.706875,,,,24.22,10.920625,31.78875,28.1125,,16.0025,,,27.68,18.38125,,22.27375,28.76125,28.9775,,17.08375,20.54375,,,,,64.875,35.140625,18.705625,18.165,28.76125,14.05625,45.19625,56.44125,28.9775,41.30375,27.46375,,,23.57125,18.165,,,,32.4375,29.518125,21.84125,23.355,14.705,28.9775,,26.815,40.00625,44.98,41.52,30.166875,27.46375,51.9,35.68125,45.4125,,26.815,28.9775,31.35625,,33.95125,24.328125,25.30125,26.923125,25.95,36.33,39.79,
7,10.59625,34.708125,36.33,23.355,22.0575,26.815,17.94875,35.0325,19.895,24.43625,28.9775,28.76125,,,,,,9.623125,9.839375,11.6775,10.704375,,,11.6775,10.055625,11.245,10.59625,4.10875,13.515625,9.0825,11.02875,12.5425,8.2175,,,13.62375,14.2725,,,15.57,13.19125,20.651875,37.086875,52.440625,46.385625,7.3525,48.548125,71.14625,58.60375,6.055,50.6025,72.01125,17.7325,27.68,4.97375,46.06125,1.2975,2.1625,36.438125,64.22625,,12.975,,,33.735,21.625,,22.9225,27.89625,13.731875,,25.95,33.3025,26.815,25.73375,21.625,18.5975,21.84125,23.463125,11.46125,30.92375,27.139375,28.9775,27.2475,25.5175,28.545,,21.516875,32.87,,20.97625,30.49125,28.545,16.8675,20.11125,,,19.67875,,,,,,,,,18.165,,,,,,17.7325,,,,15.57,,,,,,61.19875,21.625,,,,,,49.52125,17.08375,34.1675,18.38125,,26.058125,27.2475,17.51625,,,,28.76125,,,23.13875,,,,,36.11375,43.6825,24.86875,32.005,23.895625,46.49375,30.92375,38.27625,,21.40875,26.490625,28.9775,,29.41,28.9775,23.679375,19.570625,28.32875,30.7075,31.5725,32.22125
7,3.24375,6.70375,7.56875,3.67625,3.46,7.3525,9.9475,4.7575,3.46,6.70375,5.40625,5.6225,,,,,,3.24375,1.2975,3.67625,1.08125,,,4.54125,0.973125,5.6225,1.2975,0.865,,,3.0275,4.7575,0.865,,,6.27125,1.2975,,,8.43375,1.94625,3.24375,8.2175,14.380625,12.11,1.94625,16.326875,16.759375,8.43375,2.37875,13.4075,29.518125,9.0825,6.27125,1.2975,12.975,0.4325,0.64875,10.59625,29.62625,,3.568125,,,4.325,3.46,,3.0275,7.13625,3.24375,,4.7575,3.67625,3.46,3.24375,4.325,4.10875,4.54125,4.7575,3.0275,5.6225,8.00125,10.59625,8.00125,5.6225,6.055,,8.2175,6.92,,4.865625,7.56875,8.2175,5.6225,4.97375,,,10.704375,,,,9.9475,,20.11125,15.57,11.89375,4.7575,,,10.16375,9.73125,,6.055,15.1375,12.5425,,4.54125,5.40625,,6.379375,0.64875,1.94625,22.0575,5.6225,4.325,1.94625,4.54125,2.37875,9.9475,15.78625,3.8925,5.83875,2.595,0.865,4.54125,4.216875,3.46,,,6.379375,8.86625,,5.83875,6.92,5.6225,,,6.27125,6.27125,8.65,5.19,3.67625,5.83875,6.4875,5.40625,7.56875,,,4.7575,5.40625,,4.97375,5.83875,4.7575,,,6.92,7.3525,
7,12.5425,36.654375,43.25,23.7875,33.51875,29.19375,32.978125,41.30375,25.73375,30.275,33.735,30.92375,,,,,,,,11.353125,8.974375,,,11.245,12.32625,12.75875,6.92,8.00125,14.05625,7.785,18.38125,11.136875,9.29875,,,11.6775,9.623125,,,16.21875,14.2725,32.65375,40.114375,63.36125,49.305,8.974375,56.00875,83.04,60.874375,15.57,63.5775,87.7975,31.680625,40.87125,8.00125,63.79375,3.24375,3.784375,51.9,79.039375,,17.3,,,40.655,22.0575,,23.57125,31.78875,17.94875,,26.59875,37.195,38.06,37.6275,27.46375,23.57125,35.24875,35.465,23.57125,35.24875,27.46375,30.275,25.73375,27.46375,27.788125,,31.14,35.0325,,30.49125,32.65375,33.95125,21.1925,28.76125,,,34.38375,,,,37.41125,,44.98,36.54625,30.7075,22.9225,,,36.7625,34.38375,,26.3825,36.11375,40.00625,,19.67875,30.815625,,,,,66.713125,36.97875,34.6,34.38375,51.68375,29.62625,65.52375,65.199375,34.81625,44.115,,27.2475,31.78875,30.49125,22.9225,,,,36.33,40.43875,26.59875,29.41,24.43625,,,35.8975,39.57375,48.65625,28.545,30.05875,39.3575,61.19875,45.19625,56.00875,,,25.73375,32.65375,,30.49125,29.19375,31.5725,,,30.275,35.24875,
