,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
AAA,144,673,853,823,829,399,335,121,55,26,58,11,0,0,0,0,0,0,0,0,0,0,0
ACAd,3665,11133,22013,31999,32171,25411,19162,12339,6836,4134,2161,929,196,142,29,0,0,0,0,0,0,0,0
ACAv,3036,8519,15984,19129,19563,17962,13964,9883,5966,3474,1693,683,431,198,45,84,26,22,0,0,0,0,0
ACB,35287,113875,214127,286363,289798,236846,164850,94084,49795,25866,12854,6599,2504,1258,329,165,126,14,0,0,0,0,0
AHN,367,1803,2026,2249,1289,603,282,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AId,13637,39737,72846,98192,106306,90199,64593,38409,21471,10837,4875,2306,951,382,145,92,0,0,0,0,0,0,0
AIp,3668,12930,21576,24955,24885,20919,13055,7807,3666,1480,670,341,41,6,0,2,10,27,23,0,0,0,0
AIv,10380,32704,59202,80120,83578,71254,50224,33730,19671,9455,3435,2015,746,451,228,98,0,0,0,0,0,0,0
AM,365,1364,2563,4156,5217,4746,3188,2795,1077,768,581,164,75,29,20,6,17,9,11,0,0,0,0
AN,23,41,25,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOB,59,148,238,117,98,105,19,32,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0
AON,11695,37166,61032,69190,59566,43349,27279,13561,6467,2537,1462,682,264,78,18,7,0,0,0,0,0,0,0
APN,69,83,126,187,94,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APr,249,844,1530,1380,1432,724,267,195,38,8,10,0,0,0,0,0,0,0,0,0,0,0,0
ARH,245,286,348,239,119,97,35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDd,374,1015,2048,2693,2583,2856,1884,1324,873,668,295,92,23,17,0,7,0,0,0,0,0,0,0
AUDp,683,2095,3687,5053,5237,5011,3572,2201,1342,871,354,172,30,3,6,0,19,0,0,0,0,0,0
AUDpo,175,593,883,1266,1198,982,674,392,216,117,61,22,1,5,0,0,0,0,0,0,0,0,0
AUDv,583,1967,2887,3978,3569,3348,2073,1429,670,565,214,41,17,49,11,6,0,0,0,0,0,0,0
BLA,2024,6973,11915,14893,13128,9359,5877,3456,1790,630,237,95,74,17,31,8,0,0,0,0,0,0,0
BMA,1431,4294,7675,8744,8109,5218,3272,1299,899,360,113,43,8,1,27,0,0,0,0,0,0,0,0
BST,1085,2710,4718,4629,3831,2941,1630,1017,486,107,42,13,0,0,0,0,0,0,0,0,0,0,0
CA1,21833,59758,91175,117267,106796,74874,45241,27050,13222,6460,2680,910,414,177,48,31,0,8,0,0,0,0,0
CA2,384,781,1392,1234,1752,1023,632,580,393,180,128,68,0,0,0,0,0,0,0,0,0,0,0
CA3,4351,13651,17115,19137,16723,12446,8911,4493,2641,1175,814,493,193,90,6,0,0,0,0,0,0,0,0
CEA,1531,5329,8818,10666,9441,6976,4001,2583,1032,601,145,91,134,2,4,27,0,0,0,0,0,0,0
CENT,208,529,684,630,514,180,167,76,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CLA,5893,16704,32585,44665,50629,43678,30630,17817,10361,5240,2627,1021,393,171,152,17,46,10,25,0,0,0,0
CM,386,773,1945,2690,4142,3329,1982,1331,782,256,108,91,29,0,0,0,0,0,0,0,0,0,0
COAa,446,1340,1715,1579,1259,807,412,53,44,10,3,14,2,21,3,0,0,0,0,0,0,0,0
COAp,1063,3711,6881,8061,8633,7266,5107,3192,1453,703,201,65,20,6,2,13,0,0,0,0,0,0,0
COPY,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,152267,434873,763352,1013876,1050730,925271,680867,433581,239209,119925,55446,24144,10342,4680,1812,737,189,38,0,0,0,0,0
CS,757,1796,2064,1519,1149,418,335,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,5,26,74,38,12,9,5,18,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CUL,0,35,34,10,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
