,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23
ACAd,8,31,42,92,80,52,33,27,12,6,8,2,0,1,0,0,0,0,0,0,0,0
ACAv,8,12,25,35,51,53,32,32,26,11,5,3,1,1,0,0,0,0,0,0,0,0
ACB,6,33,62,123,95,102,58,31,24,11,9,4,6,1,0,0,0,0,0,0,0,0
AId,33,125,221,315,304,271,186,114,60,28,10,4,3,1,0,0,0,0,0,0,0,0
AIp,16,47,80,91,76,75,46,24,13,7,2,2,1,0,0,0,0,0,0,0,0,0
AIv,11,38,80,59,84,80,64,41,12,7,2,1,1,1,0,0,0,0,0,0,0,0
AOB,2,6,5,4,8,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AON,6,25,28,57,49,45,31,35,18,6,17,10,6,1,0,0,0,0,0,0,0,0
APr,0,4,5,13,17,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDd,15,37,78,109,94,104,69,64,53,32,14,1,2,0,0,0,0,0,0,0,0,0
AUDp,40,118,235,313,343,317,211,156,89,60,20,10,2,1,2,0,3,0,0,0,0,0
AUDpo,10,29,32,45,47,40,25,17,7,5,2,4,0,1,0,0,0,0,0,0,0,0
AUDv,31,86,125,164,133,118,77,72,31,34,19,2,0,2,2,0,0,0,0,0,0,0
BLA,4,10,13,16,16,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMA,0,11,8,10,6,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BST,3,4,9,16,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1,0,10,17,28,11,5,6,17,10,8,0,0,8,0,0,0,0,0,0,0,0,0
CA3,0,1,7,12,6,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA,4,26,36,46,41,27,13,16,2,6,0,0,1,0,0,0,0,0,0,0,0,0
CLA,24,80,173,265,320,273,186,112,70,33,24,9,2,0,0,0,0,0,0,0,0,0
COAp,1,3,7,4,8,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,594,1755,3085,4272,4804,4258,3431,2301,1225,630,274,106,34,20,4,2,1,3,0,0,0,0
DG,5,27,13,8,6,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECT,6,15,23,23,24,21,7,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0
ENTl,7,11,23,32,20,16,11,11,4,1,1,0,0,0,0,0,0,0,0,0,0,0
ENTm,2,11,10,16,9,6,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
EPd,21,77,142,209,206,195,138,88,36,13,10,1,0,0,1,0,0,0,0,0,0,0
