,x_umap0,x_umap1,color,region,branch_peak,branch_peak2
0,13.132565,13.376699,Isocortex,FRP,5,mid
1,12.698297,12.883707,Isocortex,MOp,5,mid
2,12.491214,13.763953,Isocortex,MOs,5,mid
3,13.375913,13.888956,Isocortex,SSp-n,4,mid
4,13.04027,13.936535,Isocortex,SSp-bfd,5,mid
5,11.788884,14.730225,Isocortex,SSp-ll,6,high
6,12.807468,13.351988,Isocortex,SSp-m,5,mid
7,12.539715,12.7297125,Isocortex,SSp-ul,6,high
8,9.834564,14.797055,Isocortex,SSp-tr,4,mid
9,12.22908,14.692187,Isocortex,SSp-un,5,mid
10,12.538113,14.1335945,Isocortex,SSs,5,mid
11,8.991064,14.907838,Isocortex,GU,5,mid
12,8.275388,15.199383,Isocortex,VISC,5,mid
13,12.121557,12.940529,Isocortex,AUDd,6,high
14,11.439098,14.224699,Isocortex,AUDp,5,mid
15,8.140883,14.830943,Isocortex,AUDpo,4,mid
16,11.054471,14.083521,Isocortex,AUDv,4,mid
17,7.2228045,13.152243,Isocortex,VISal,4,mid
18,12.550025,14.352705,Isocortex,VISam,5,mid
19,8.163906,15.584872,Isocortex,VISl,5,mid
20,9.75861,14.431388,Isocortex,VISp,5,mid
21,13.942658,13.979547,Isocortex,VISpl,4,mid
22,8.981723,15.7362,Isocortex,VISpm,4,mid
23,6.8347373,14.082421,Isocortex,VISli,4,mid
24,11.5103035,13.761833,Isocortex,VISpor,4,mid
25,10.688937,15.343422,Isocortex,ACAd,5,mid
26,13.12796,12.644082,Isocortex,ACAv,5,mid
27,8.444163,14.018591,Isocortex,PL,5,mid
28,4.7465615,11.636133,Isocortex,ILA,4,mid
29,10.269808,15.50934,Isocortex,ORBl,4,mid
30,9.677586,14.563135,Isocortex,ORBm,6,high
31,12.898143,13.710069,Isocortex,ORBvl,4,mid
32,9.041317,15.281462,Isocortex,AId,5,mid
33,6.6405854,13.765491,Isocortex,AIp,4,mid
34,10.100052,15.155558,Isocortex,AIv,5,mid
35,9.357883,15.0720415,Isocortex,RSPagl,5,mid
36,13.485645,13.503337,Isocortex,RSPd,5,mid
37,13.601239,12.361305,Isocortex,RSPv,5,mid
38,9.88632,15.438277,Isocortex,VISa,5,mid
39,13.434734,14.353644,Isocortex,VISrl,5,mid
40,4.6544266,11.96701,Isocortex,TEa,3,low
41,4.614442,10.179874,Isocortex,PERI,4,mid
42,2.7472796,11.743513,Isocortex,ECT,4,mid
43,2.871943,7.033662,OLF,MOB,3,low
44,2.6533391,6.058574,OLF,AOB,3,low
45,4.0427594,11.681492,OLF,AON,4,mid
46,7.9481173,13.434938,OLF,TT,4,mid
47,7.2475033,14.78153,OLF,DP,4,mid
48,6.4518642,13.224906,OLF,PIR,4,mid
49,4.320296,9.692231,OLF,NLOT,4,mid
50,2.5314128,8.922577,OLF,COAa,3,low
51,8.434981,14.204315,OLF,COAp,5,mid
52,14.529957,12.296128,OLF,PAA,4,mid
53,7.5645165,13.36432,OLF,TR,4,mid
54,4.4327073,12.359665,HPF,CA1,4,mid
55,14.425878,12.940213,HPF,CA2,5,mid
56,4.859944,10.888131,HPF,CA3,4,mid
57,3.1669958,10.645052,HPF,DG,4,mid
58,12.476172,12.640828,HPF,ENTl,5,mid
59,4.391176,9.022299,HPF,ENTm,4,mid
60,3.853216,8.801024,HPF,PAR,4,mid
61,2.6812556,8.672001,HPF,POST,3,low
62,3.09582,8.838797,HPF,PRE,4,mid
63,3.9245257,11.102451,HPF,SUB,4,mid
64,4.5550995,9.812321,HPF,ProS,4,mid
65,12.557545,13.029567,HPF,HATA,4,mid
66,2.3500736,10.219501,HPF,APr,3,low
67,8.9457445,15.109059,CTXsp,CLA,5,mid
68,7.3053994,14.195698,CTXsp,EPd,5,mid
69,3.348519,12.034986,CTXsp,EPv,4,mid
70,5.000575,12.446036,CTXsp,LA,4,mid
71,5.022931,12.580863,CTXsp,BLA,4,mid
72,3.1929398,11.889477,CTXsp,BMA,4,mid
73,9.075015,14.132932,CTXsp,PA,5,mid
74,10.27712,14.894996,STR,CP,5,mid
75,7.6706033,14.46773,STR,ACB,5,mid
76,5.6435523,12.825797,STR,FS,4,mid
