,ACB,AMB,AN,AOB,AON,APN,AV,BST,CA1,CA2,CA3,CENT,CLA,COPY,CP,CU,CUL,CUN,DEC,DG,ECU,EPd,FN,FOTU,FRP,FS,GPi,IC,IP,IRN,LAV,LD,LHA,LIN,LP,LPO,LRN,MA,MDRN,MEV,MO,MOB,MRN,MV,MX,NDB,NLL,NOD,NOT,NTS,ORB,OT,PARN,PB,PG,PGRNl,PIR,PO,PPN,PPT,PRM,PRNc,PRNr,PSTN,PT,PYR,RR,RSPd,RSPv,RT,SCm,SCs,SI,SIM,SNc,SNr,SO,SOC,SPFp,SPIV,SPVC,SPVI,SPVO,SS,STN,SUB,SUT,SUV,UVU,V,VAL,VII,VIS,VM,VPL,VPM,ZI
ACB,1.0,0.06074210599249116,0.15290556855821855,0.3117594040393927,0.39324265804550845,0.06805466377463013,0.3292071600686015,0.0984257886837125,0.25559159209669546,0.5330319515231837,0.7126789138533346,0.1077218468668711,0.764748190189943,0.16521695003826073,0.8577725343605996,0.05809811082653168,0.14349111401780065,0.07152184972951314,0.13516514919373504,0.8352673876529304,0.06733555770020021,0.5143137257889119,0.0427286681880846,0.158200439964894,0.2837645519392663,0.5946449591816502,0.048617327978951026,0.08297231627790272,0.04712758529356775,0.051781314576789784,0.04407866873712514,0.7464828402677296,0.07042604946507873,0.07271140647714622,0.6385459625640868,0.07301486386046015,0.057946249376530354,0.10239548983206381,0.0527663930920613,0.052333317202291285,0.6390242615858425,0.2616996388006947,0.05652780254741924,0.04508385595153236,0.06450106661685025,0.1223239271484998,0.048560513818868514,0.1264585780003109,0.08051143362248508,0.09830010764046661,0.6376712713015903,0.7311777081158919,0.054331059150561994,0.07521226228572553,0.10714251336418554,0.05138311119787038,0.9942951248627968,0.9204212134298212,0.05622478657332995,0.07241646447688908,0.17526220097556736,0.04949369733699087,0.05116705320911048,0.10063202043648363,0.536889807387001,0.14020226548242282,0.05887328601614628,0.5976246650508669,0.48901911080228255,0.06725685627948527,0.07278025356479971,0.11155366990493383,0.07411997339934845,0.1543910473903431,0.05924682836816101,0.05806227567943511,0.07753306467309327,0.043583437868924775,0.06604080024677214,0.048702806613056836,0.06674893436442829,0.06277656945118774,0.06440248817387856,0.6383488415711496,0.10108766489347322,0.790496442400075,0.05660423785545903,0.04788157678375256,0.143829410119655,0.0466202193128865,0.5274570657976013,0.05275309836539113,0.5436978407615782,0.2939712321224251,0.3601451067043622,0.6586360764450503,0.05928699065119445
AMB,0.06074210599249116,1.0,0.3972524124872777,0.19483648353656727,0.023886387215769224,0.8925487633536,0.18451028215739135,0.6171360860280591,0.01552517157792705,0.03237748329680562,0.04328961812389273,0.5638791736235246,0.07942759037769599,0.36765057083080505,0.07081376887145203,0.9564717896629017,0.42331615032939146,0.8492804118211473,0.4493917726190516,0.05073590019288547,0.9020806846649249,0.11810321783521939,0.7034439700422414,0.38395661861604385,0.01723645649080668,0.10214852586337296,0.8003892388084309,0.7320767783442977,0.775863538537725,0.8524780912797282,0.7256690892899579,0.08137106804853773,0.8624948645260953,0.8353862060360898,0.09512565978583705,0.8319142539055656,0.9539716878386397,0.5932107565686019,0.8686954828102963,0.861565735122201,0.038815679429020644,0.23210618964113722,0.9306197344294763,0.742217531231228,0.9417225044248009,0.49656765776290795,0.79945390475713,0.4803320340383855,0.7544531659603588,0.6179251218590306,0.03873349594976778,0.08307434064013275,0.8944546499141525,0.8076090805743432,0.5669281416427495,0.8459224512930502,0.06039557986223324,0.055908322903891534,0.9256311689337933,0.8387886157004576,0.3465784730214531,0.8148169466351596,0.8423654789880957,0.6036061457280393,0.03261181758658938,0.4332462516456726,0.9692335333816731,0.036300980748246794,0.1242121312863171,0.903136265246741,0.8345959654895891,0.5445101541191397,0.8195106286023723,0.39343023458425264,0.9753831777825583,0.9558818340380344,0.7834348641911842,0.717516081419905,0.9197663530047854,0.8017964773739882,0.910008625169329,0.9675919936931486,0.9431639633005354,0.03877465299489872,0.6008854399446417,0.07684045459846513,0.931878092314685,0.788276534068009,0.4223204832861262,0.7675107497696841,0.11516028494307715,0.8684766111321922,0.033025351871428375,0.20662602103594593,0.1686600896742253,0.09222407967741932,0.9760443712393414
AN,0.15290556855821855,0.3972524124872777,1.0,0.490460164399397,0.060128992209793584,0.44507642472627423,0.4644661085936147,0.6437031012787282,0.039081377708245504,0.08150355360734919,0.10897257452219779,0.70449917476914,0.19994237386850286,0.9254835446533112,0.17825887683871497,0.3799607259196117,0.9384296162056821,0.4677517660338271,0.8839779379406388,0.12771703480720925,0.4403734823729608,0.29730019031414123,0.27944481414890865,0.9665306151623192,0.043389180150941654,0.2571375847003682,0.31795655604550505,0.542637636158497,0.3082136624450272,0.3386489783534218,0.2882737963878815,0.20483467309627404,0.4605852496357196,0.4755314483491913,0.23945898576231678,0.47751605483655,0.3789675544384598,0.66966488400373,0.3450913762631907,0.3422590667936693,0.09771036804027902,0.5842788674029024,0.3696909346103791,0.2948477048719567,0.4218359555184649,0.7999965488629357,0.31758499233714416,0.8270371000397019,0.5265435025136478,0.642881149243685,0.0975034882916117,0.20912230619315184,0.3553242675388605,0.4918870057834983,0.7007103428243765,0.33604473455331585,0.15203326138181084,0.14073752895253225,0.36770921493236824,0.4736025323323436,0.872438938385434,0.3236879977863346,0.33463171872402225,0.6581318220478553,0.08209344125162181,0.9169205988010897,0.385030359399438,0.0913801391940177,0.31267810435335003,0.43985877632623527,0.4759817072135524,0.729559236833549,0.4847434537423494,0.9903784652204033,0.38747332047362865,0.37972636462437276,0.5070650166908258,0.28503499434247515,0.4319057891055631,0.31851558496061777,0.43653697503510946,0.41055777132986276,0.421191254060557,0.0976070925589168,0.6611117295900459,0.1934297997521311,0.3701908203160507,0.3131447548656264,0.9406420673612824,0.30489549695592627,0.28989197125836264,0.3450044289610387,0.08313442746552487,0.5201378633353505,0.4245665586225401,0.23215486370488145,0.38773598116945646
AOB,0.3117594040393927,0.19483648353656727,0.490460164399397,1.0,0.12259709671513437,0.21829225644154426,0.9470006787653921,0.31571072887756674,0.07968308242954535,0.1661777235408222,0.22218435345435728,0.3455287810765119,0.40766282030946677,0.5299501727857568,0.36345230413769797,0.18635560009984697,0.46026234384150183,0.2294136080670591,0.43355596476780567,0.26040246298821795,0.21598565056177732,0.6061658252677998,0.13705654948803267,0.5074440030200482,0.08846626760009098,0.5242782255624191,0.15594502474994448,0.26614214423959665,0.15116652355292828,0.16609383359690702,0.14138681356843866,0.4176377368936956,0.22589871725627236,0.2332292323344277,0.4882333024039806,0.23420260275848576,0.18586848905192443,0.3284439491009725,0.16925357313485867,0.16786443816680724,0.1992218229587152,0.8394282110175814,0.18131867656597325,0.14461105380428477,0.206893732093163,0.39236643887426564,0.155762787552457,0.4056287520498727,0.258248612806278,0.31530759414733095,0.1988000155140257,0.4263797987533541,0.17427239867220481,0.24125098172250167,0.3436705099380015,0.164816555754571,0.309980855566499,0.2869499689640957,0.1803467220069025,0.23228317586769195,0.5621713369500216,0.15875606860839728,0.16412352777863673,0.3227874416380658,0.16738044638579574,0.4497130276291759,0.18884205336980728,0.18631510941549992,0.6375198783702372,0.2157332077494829,0.23345006637106452,0.35781974323648097,0.2377473540140041,0.49522498885337507,0.19004022845987614,0.1862406552204552,0.24869519144736535,0.13979831018479155,0.2118325843297657,0.1562192061635547,0.21410399654213527,0.20136223202189454,0.206577531710129,0.19901125441745826,0.32424896758110355,0.3943843227084498,0.18156385059135782,0.15358502795220397,0.4613474629990032,0.14953909556163944,0.5910611957922328,0.16921092894675108,0.16950291481333424,0.9429426291990219,0.8656494236233269,0.47334091646193416,0.19016905306793308
AON,0.39324265804550845,0.023886387215769224,0.060128992209793584,0.12259709671513437,1.0,0.026761996875128917,0.12945829867298997,0.038705218762208615,0.649958967745348,0.7377468778781167,0.5517809639116608,0.04236082539149962,0.3007316110457852,0.0649703525872176,0.3373127514103944,0.02284665552884785,0.056426827082271036,0.02812544229596518,0.05315270254406206,0.47079852973848924,0.026479213691003436,0.20225009659852045,0.01680273505302694,0.06221116151576379,0.721601652652921,0.23383976434195494,0.01911840728151297,0.032628254197315076,0.01853257690810899,0.02036262178126745,0.01733361285729454,0.2935488962922426,0.02769452688729202,0.02859322675330038,0.2511035116029292,0.028712559141318282,0.022786937128594673,0.04026627459343259,0.02074999667499633,0.02057969276096775,0.6153798559535327,0.10291146157153463,0.022229143327218794,0.0177288953493214,0.025364570883180605,0.0481029862544412,0.0190960655301875,0.04972890734549751,0.03166053016076054,0.03865579561469669,0.6166855490334957,0.2875302654431162,0.021365290114794745,0.029576669938854647,0.042133006745008736,0.02020603122609848,0.395498930058389,0.42724206298999184,0.022109984520137675,0.028477242977150003,0.0689205737665382,0.019463033097298195,0.020121068008306563,0.03957280320093273,0.7324457507572895,0.05513351154230999,0.02315148748086283,0.6580094180216567,0.19230317496694058,0.026448264935129525,0.028620300365047934,0.0438676616681474,0.02914713535382215,0.06071314585420858,0.02329838026826166,0.022832563620352145,0.03048930843846151,0.017138866954337247,0.02597005982849315,0.01915202112679482,0.026248528371172954,0.024686425033963535,0.025325805634240427,0.6160309730924421,0.03975198203832304,0.3108569221849236,0.0222592009509209,0.018829078525852964,0.056559859540570676,0.018333058961264036,0.20741861855913335,0.02074476862134258,0.7232742684699254,0.11560202870873558,0.14162441904250664,0.2590038013859163,0.023314173791194926
APN,0.06805466377463013,0.8925487633536,0.44507642472627423,0.21829225644154426,0.026761996875128917,1.0,0.20672291501937146,0.691431226355942,0.017394199863763022,0.036275310242045194,0.04850112386155728,0.6317628759070201,0.08898963691267729,0.4119109071972949,0.07933882357909651,0.8536977130462274,0.474277896861179,0.9515227029502801,0.5034926841761995,0.05684384122863381,0.9894334049344318,0.13232130577545886,0.6278580455497493,0.43017999058493145,0.01931150117338534,0.11444587686118937,0.7143864252999943,0.8202092797637676,0.6924960418529946,0.7608782661577588,0.647695048249685,0.09116708396166479,0.9663280035092061,0.9359558159010477,0.10657754925167177,0.9320658859912476,0.8514662502547244,0.664625599098601,0.7753530789131884,0.7689894314311558,0.0434885812660558,0.2600487493468006,0.8306234931174847,0.6624653396397946,0.9477831942635416,0.5563479309490492,0.713551594049183,0.5381577497610547,0.8452794927703776,0.6923152518158024,0.043396503967170666,0.09307540837096122,0.798344391656754,0.9048346866112834,0.63517889993216,0.755027037794658,0.06766642041529151,0.06263895621100353,0.8261709551534043,0.9397678313382589,0.38830200348857513,0.727263858078768,0.7518522665625876,0.6762724576079092,0.03653785532574827,0.48540345293608783,0.8650881916206525,0.040671145643462685,0.1391656527757779,0.9882769607416347,0.935070440693612,0.6100620789313914,0.9181690258840319,0.44079410642619177,0.8705770491257271,0.8531711488828186,0.8777502096888927,0.6404180911576571,0.9704081481538565,0.7156424543414259,0.9808135205174784,0.9224433120275002,0.9463346757123637,0.0434426157840492,0.6732242143128595,0.08609104370919768,0.831746638891784,0.7035752456630634,0.4731623644845228,0.6850407705675259,0.1290240821245239,0.7751577252675635,0.03700117374802159,0.23150110057806123,0.18896456597005828,0.10332665672058412,0.8711671965279162
AV,0.3292071600686015,0.18451028215739135,0.4644661085936147,0.9470006787653921,0.12945829867298997,0.20672291501937146,1.0,0.29897827454057235,0.08414258217156553,0.17547793498677175,0.2346190012704318,0.3272159902124353,0.4304778543991522,0.5018631733399485,0.3837930766971909,0.17647887978628704,0.43586875202805253,0.21725484255752261,0.41057779291789637,0.27497600458714083,0.20453855768558787,0.640090169795929,0.1297926453944095,0.4805498152954133,0.09341732227206503,0.5536196935422711,0.14768004428828327,0.25203679124297484,0.14315480041122772,0.15729097315501706,0.13389340841778735,0.44101102170082,0.21392623857392126,0.22086824132863436,0.5155574999592313,0.2217900237809075,0.1760175852932703,0.31103664273500686,0.16028324864217905,0.1589677368845376,0.21037136237161033,0.7949390856084683,0.17170890978081926,0.13694676610963633,0.1959285047245305,0.37157128393868927,0.1475074655385663,0.3841307035179884,0.24456161161776613,0.2985965056774052,0.20992594828253125,0.450242337005742,0.16503607983265098,0.22846484344402626,0.32545620618293586,0.1560813901713528,0.32732907432613684,0.30300925374012755,0.17078846815365015,0.21997232521248525,0.5323766376741184,0.1503421047302774,0.15542509220773965,0.30567992632819263,0.176747968759653,0.42587854241446915,0.17883355272065785,0.19674231876834505,0.6731989666590038,0.20429949417099563,0.22107737131122387,0.3388555397206058,0.22514690562593787,0.4689784005857299,0.17996822534423285,0.17637002690748238,0.23551451510634408,0.13238909463525242,0.20060560114491524,0.14793969427307702,0.20275663005178526,0.19069017040244848,0.19562906274717148,0.21014900926671973,0.3070639923882827,0.4164562196751643,0.17194108974927405,0.14544512571893883,0.43689636060674764,0.1416136249988354,0.6241402029012284,0.16024286456709583,0.17898922209254986,0.8929673098882972,0.9140958850756865,0.4998316549033844,0.1800902223355045
BST,0.0984257886837125,0.6171360860280591,0.6437031012787282,0.31571072887756674,0.038705218762208615,0.691431226355942,0.29897827454057235,1.0,0.025156804033042993,0.05246409022228777,0.07014598417426607,0.9137031302977263,0.12870352613618624,0.5957366278757668,0.1147457918515437,0.5902732566688161,0.6859364731916595,0.7266576238402915,0.72818910252255,0.08221185139152389,0.6841251525713495,0.19137305451596884,0.4341206584119081,0.6221587544608218,0.02792974982510259,0.16552026072694864,0.49394908213721267,0.8429936644402323,0.47881338746505187,0.526094992677042,0.44783658151595074,0.1318527143214861,0.7155243600982477,0.7387434477238639,0.1541404917642622,0.7418265561995204,0.5887303536143196,0.9612316796876313,0.5361033302118013,0.5317033056292026,0.06289646693461355,0.3761021189588711,0.5743190204862788,0.45804922220544886,0.6553268963291926,0.8046323477190582,0.4933718537416639,0.7783243354473787,0.8179912470013881,0.9987230882787259,0.06276329779880462,0.13461267704309168,0.552000241777618,0.7641519899567915,0.918643641942165,0.5220492706742546,0.09786428184899118,0.09059318385304983,0.5712403967013784,0.7357468550198428,0.5615916503150251,0.5028529412757564,0.5198541347078647,0.9780762450838035,0.05284380272831205,0.7020270916809981,0.598148989238312,0.05882167899447108,0.20127186547420528,0.6833255509449118,0.7394429299284186,0.882317800638841,0.7530544016012933,0.6375096895020407,0.6019441567143387,0.5899091737635553,0.7877312004300301,0.4428050661496703,0.6709704959438196,0.49481753983766835,0.678165095317889,0.6378061104790114,0.6543253453709524,0.06282998818697463,0.9736676456759998,0.1245113619801702,0.575095598546379,0.48647389494249504,0.6843231061145965,0.47365858009732403,0.18660436093481195,0.5359682566010339,0.05351388878258986,0.3348143557214564,0.27329481048456605,0.1494388057437727,0.602352203056365
CA1,0.25559159209669546,0.01552517157792705,0.039081377708245504,0.07968308242954535,0.649958967745348,0.017394199863763022,0.08414258217156553,0.025156804033042993,1.0,0.479505199203014,0.3586349857255561,0.027532798344300027,0.19546320748371404,0.042228063301639245,0.2192394477140431,0.014849388643963492,0.036675122283538135,0.018280383442066873,0.03454707567841411,0.30599972640485595,0.01721040239731308,0.1314542640115713,0.010921088330363968,0.04043470232102496,0.9007171274564251,0.15198625184951245,0.012426180261627312,0.02120702641741972,0.01204541455685579,0.013234868633541534,0.011266137120024652,0.19079473761689222,0.01800030610786011,0.01858442414508378,0.1632069791986719,0.01866198530081848,0.01481057413417954,0.02617142626969818,0.013486646419600014,0.013375955863435011,0.3999716559468391,0.06688822733219972,0.014448031050822515,0.01152305452051024,0.016485930308535776,0.03126496729140527,0.012411659039998186,0.032321749285383616,0.02057804550155839,0.0251246810151034,0.40082030287328396,0.1868828745229537,0.013886561908591876,0.019223621862802832,0.027384725571993656,0.013133091197945233,0.25705807632514005,0.27768981023836803,0.01437058271557431,0.01850903944966187,0.04479554498171627,0.012650172901113473,0.01307786859261288,0.025720698319268057,0.47605968409167426,0.03583452025021602,0.015047516904830948,0.42767912210407316,0.12498917309566573,0.017190286975892272,0.018602020881828364,0.028512180095231272,0.018944442007304187,0.03946105360797413,0.01514299118929793,0.014840229481664068,0.019816799439931976,0.011139560273965897,0.01687947327841234,0.012448027881808666,0.017060466404962057,0.01604516333239785,0.01646073448735022,0.4003948553703259,0.02583715721146005,0.2020442442598089,0.01446756727289682,0.012238128442259489,0.036761587922811194,0.011915736078077771,0.1348135912098604,0.013483248399243905,0.47009859693148437,0.07513657524879788,0.09205006120840221,0.16834184339091127,0.015153256331160684
CA2,0.5330319515231837,0.03237748329680562,0.08150355360734919,0.1661777235408222,0.7377468778781167,0.036275310242045194,0.17547793498677175,0.05246409022228777,0.479505199203014,1.0,0.7479272098021953,0.057419186257129856,0.40763522024076815,0.08806591330360244,0.45722016795321757,0.030968149393676387,0.07648534853114397,0.038123431137870284,0.07204734325265884,0.6381572648502214,0.035892003727839655,0.27414564895242327,0.02277574539028131,0.08432588924631369,0.5323593663163817,0.3169647630560189,0.025914589210462947,0.04422689566800931,0.025120508759605715,0.02760109516130214,0.02349533881749376,0.3978992051264769,0.037539334584439185,0.03875750289250871,0.34036540056278497,0.03891925537374065,0.030887202388621027,0.054580067772357285,0.02812617348470087,0.027895330198019125,0.8341341378813667,0.13949426918284658,0.030131124907168072,0.02403113572003539,0.034381129414106565,0.0652025616059446,0.025884305447840015,0.06740646261835248,0.04291516658372247,0.05239709821053694,0.8359039767232718,0.38974108066726265,0.028960190487345588,0.04009053894463383,0.05711038298961061,0.027388840037133603,0.5360902796307454,0.5791174124908687,0.02996960771115656,0.03860028938252549,0.09342035301425508,0.026381722079634046,0.027273674225742728,0.053640082238979744,0.9928144363876209,0.07473228717806733,0.031381342537769016,0.8919175909143822,0.26066281096307264,0.03585005335596833,0.038794200589997344,0.05946167036899992,0.039508314067901146,0.08229536128818292,0.031580452546639985,0.030949048115286384,0.041327600770272116,0.0232313649413624,0.035201856635689706,0.02596015205361389,0.03557931474636411,0.03346191732449728,0.03432858395427125,0.8350167131364218,0.05388295529308965,0.4213598613646459,0.0301718673685778,0.025522410315050793,0.07666567116250804,0.02485006648078671,0.28115146912678773,0.02811908697059891,0.9803826897243985,0.15669605954989108,0.19196884905815137,0.3510740731710779,0.03160186032674294
