,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23
ACAd,10,35,52,104,95,52,37,27,14,6,8,2,0,0,0,0,0,0,0,0,0
ACAv,9,12,26,35,52,53,34,33,26,12,6,3,1,0,0,0,0,0,0,0,0
ACB,6,36,63,129,96,113,59,34,23,11,9,6,5,1,0,0,0,0,0,0,0
AId,37,129,238,331,327,277,195,113,65,29,10,4,3,1,0,0,0,0,0,0,0
AIp,17,49,86,99,85,83,46,22,15,6,2,2,1,0,0,0,0,0,0,0,0
AIv,12,37,77,58,90,79,69,42,13,7,3,1,1,1,0,0,0,0,0,0,0
AOB,1,6,5,3,8,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
AON,8,27,31,61,48,45,30,37,19,5,18,11,6,1,0,0,0,0,0,0,0
APr,0,3,5,15,21,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDd,16,37,83,109,98,109,72,72,49,40,14,1,2,0,0,0,0,0,0,0,0
AUDp,46,120,245,334,363,336,222,156,89,61,19,15,3,1,2,0,3,0,0,0,0
AUDpo,10,30,34,52,46,43,25,22,8,6,1,4,0,1,0,0,0,0,0,0,0
AUDv,32,94,132,171,147,136,76,74,34,34,21,3,0,2,1,0,0,0,0,0,0
BLA,4,10,18,14,16,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BMA,0,13,8,9,7,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BST,3,4,10,18,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CA1,0,10,18,29,9,8,5,17,10,7,0,0,8,0,0,0,0,0,0,0,0
CA3,0,1,7,12,6,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
CEA,6,29,38,52,47,29,13,19,2,6,0,0,1,0,0,0,0,0,0,0,0
CLA,23,91,181,290,334,279,192,110,67,35,24,12,1,0,0,0,0,0,0,0,0
COAp,1,4,8,4,8,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0
CP,644,1895,3327,4559,5034,4493,3583,2401,1255,664,283,113,34,21,3,2,2,3,0,0,0
DG,5,25,11,26,7,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ECT,6,18,27,27,25,21,6,6,1,0,7,1,0,0,0,0,0,0,0,0,0
ENTl,7,14,26,37,20,18,11,11,5,1,1,0,0,0,0,0,0,0,0,0,0
ENTm,2,10,9,16,10,8,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
EPd,22,86,160,209,225,197,150,90,40,15,11,1,0,0,1,0,0,0,0,0,0
EPv,5,8,16,16,14,7,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
FRP,3,6,4,6,10,23,11,23,14,0,0,0,0,0,0,0,0,0,0,0,0
FS,5,14,25,49,27,32,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0
GPe,6,17,36,38,33,35,16,10,11,3,1,0,0,0,0,0,0,0,0,0,0
GU,44,74,171,233,231,228,180,97,62,24,19,13,6,0,0,0,0,0,0,0,0
IA,4,5,9,6,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IC,3,6,5,10,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,13,12,18,12,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LGd,1,11,12,14,11,14,11,9,9,5,9,2,9,1,0,1,0,0,0,0,0
LP,0,0,9,6,5,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LSr,1,2,7,5,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
