,x_umap,y_umap,x_sp,y_sp,region,soma_x,soma_y,soma_z,label,color
SEU-ALLEN_local_15257_11828_9319_6464_CCFv3,16.21023,6.8958735,-0.18692380071491543,0.9066877428019242,CA1,350.879,119.023,382.147,2,#fc8d62
SEU-ALLEN_local_15257_12664_10213_6561_CCFv3,-2.1251695,17.360266,-6.324809917635643,-1.5639099745772025,CA1,354.435,104.92399999999999,368.52,2,#fc8d62
SEU-ALLEN_local_15257_12696_10181_6599_CCFv3,-2.0711682,17.108667,-5.620286665532289,0.9678228830515225,CA1,356.418,103.741,369.152,2,#fc8d62
SEU-ALLEN_local_15257_12727_10075_6525_CCFv3,2.6394453,13.833082,-2.3895333164296484,0.010166425385006334,CA1,352.20596,103.706,370.92199999999997,2,#fc8d62
SEU-ALLEN_local_15257_12761_10139_6565_CCFv3,-1.8599268,18.074007,-3.8079434557673992,2.3116451752612095,CA1,354.339,102.76,369.913,2,#fc8d62
SEU-ALLEN_local_15257_6121_11044_5848_CCFv3,4.8538375,12.066243,-0.7875991311269114,0.43687169785160634,CA1,337.333,231.887,353.1,2,#fc8d62
SEU-ALLEN_local_15257_6400_10326_5831_CCFv3,4.189724,14.292108,-3.708046369963845,-0.5031941694292779,CA1,334.51300000000003,226.331,363.80699999999996,2,#fc8d62
SEU-ALLEN_local_15257_8339_8994_6371_CCFv3,6.3672113,12.574624,-2.2015159163333737,0.5423600539534849,CA1,355.713,183.945,386.149,2,#fc8d62
SEU-ALLEN_local_15257_9477_30398_6228_CCFv3,13.778902,3.0482256,0.34476245223977087,1.3473061503785213,CA1,347.832,172.033,390.54200000000003,2,#fc8d62
SEU-ALLEN_local_17300_18972_13650_5908_CCFv3,6.8169966,-11.903432,0.45069589496958523,6.38511453629165,CA1,331.233,135.04399999999998,371.171,1,#66c2a5
SEU-ALLEN_local_17300_20794_14452_5920_CCFv3,5.772548,-11.93918,-3.75106813344147,8.039501522553742,CA1,330.86,113.255,361.596,1,#66c2a5
SEU-ALLEN_local_17300_24244_18410_5388_CCFv3,5.871528,-10.5303,-2.493196337066749,3.5333407817460634,CA1,304.638,77.595,314.706,1,#66c2a5
SEU-ALLEN_local_17300_24612_19616_5167_CCFv3,6.2739964,-11.699275,-1.3106136941588309,0.4129859599286266,CA1,294.527,77.925,302.428,1,#66c2a5
SEU-ALLEN_local_17300_24888_20028_5154_CCFv3,18.762543,2.2217498,-4.157786624324393,3.1251428801261283,CA1,293.71,74.957,298.367,2,#fc8d62
SEU-ALLEN_local_17300_24910_31532_5034_CCFv3,6.3052316,-10.532533,3.7874630245664935,-1.8375660670410996,CA1,289.83403999999996,89.84100000000001,245.62599999999998,1,#66c2a5
SEU-ALLEN_local_17300_24942_31640_5092_CCFv3,6.857623,-9.867621,0.39205626597849286,3.528266447688584,CA1,292.551,88.32600000000001,246.58599999999998,1,#66c2a5
SEU-ALLEN_local_17300_25145_31938_5048_CCFv3,7.68612,-10.48691,2.5603633147839857,2.6486795252389785,CA1,290.221,87.015,249.166,1,#66c2a5
SEU-ALLEN_local_17300_25530_32488_4870_CCFv3,17.354355,0.96102154,-1.8851575466670527,0.6202654325466617,CA1,281.578,85.67200000000001,254.75099999999998,2,#fc8d62
SEU-ALLEN_local_17300_25590_20787_5613_CCFv3,8.869219,-10.02739,1.3225485175924552,2.3660893312307443,CA1,314.686,58.717,291.884,1,#66c2a5
SEU-ALLEN_local_17300_25616_20786_5612_CCFv3,7.445288,-10.464937,1.8601433283298894,4.052404073427936,CA1,314.592,58.38,291.937,1,#66c2a5
SEU-ALLEN_local_17300_25636_37286_5102_CCFv3,6.0928235,-11.141126,-2.3633918716039255,1.8156389744812833,CA1,293.99,76.075,303.48400000000004,2,#fc8d62
SEU-ALLEN_local_17300_25768_22926_5158_CCFv3,9.152985,-9.034193,2.182177490084699,-0.887370155835528,CA1,292.71,64.703,271.116,1,#66c2a5
SEU-ALLEN_local_17300_25789_32804_5128_CCFv3,7.2704554,-9.0641365,-1.3009391122174734,-0.4345408910576571,CA1,293.276,76.85,258.29096000000004,1,#66c2a5
SEU-ALLEN_local_17300_25798_22934_5158_CCFv3,6.811479,-9.243543,-2.645782439464994,2.857705127138672,CA1,292.626,64.252,271.08900000000006,2,#fc8d62
SEU-ALLEN_local_17300_26021_33244_5180_CCFv3,7.593089,-11.002336,2.1312527141296,-2.954772140489395,CA1,295.574,72.59899999999999,263.01096,1,#66c2a5
SEU-ALLEN_local_17300_26196_35286_5088_CCFv3,6.315415,-9.802037,-2.4171609178982982,1.3529931945450286,CA1,292.20903999999996,70.907,283.784,2,#fc8d62
SEU-ALLEN_local_17300_26286_34540_5108_CCFv3,6.505818,-12.00236,4.766827535017224,8.641128153915693,CA1,292.54400000000004,69.667,276.498,1,#66c2a5
SEU-ALLEN_local_17302_15370_13506_5724_CCFv3,13.740244,8.549899,-1.9105436439170893,3.0260816290160735,CA1,334.63,198.167,386.788,2,#fc8d62
SEU-ALLEN_local_17302_18182_13488_6150_CCFv3,2.8345077,12.5795355,-4.437055951233303,0.25554685098933344,CA1,354.246,163.54399999999998,389.585,2,#fc8d62
SEU-ALLEN_local_17302_18392_13430_6152_CCFv3,2.174548,18.2648,-7.956209290098317,-1.3683173210220805,CA1,354.23596,161.011,390.597,2,#fc8d62
SEU-ALLEN_local_17539_19704_5146_5719_CCFv3,15.990189,-3.3138177,0.5033484397227801,1.9450527882287014,CA1,280.194,73.845,254.148,1,#66c2a5
SEU-ALLEN_local_17539_19845_4952_5621_CCFv3,6.3618317,-11.1512375,1.7547863318184682,-1.3351957554550715,CA1,274.165,70.961,255.081,1,#66c2a5
SEU-ALLEN_local_17542_11449_12235_6916_CCFv3,6.080999,12.325138,-1.1215246501369391,0.5017146061898878,CA1,327.80300000000005,203.176,377.76199999999994,2,#fc8d62
SEU-ALLEN_local_17542_11655_12316_6839_CCFv3,8.754939,1.1211427,1.0357542944373348,0.03367734640584756,CA1,323.964,200.06900000000002,376.81,1,#66c2a5
SEU-ALLEN_local_17542_11701_12622_6802_CCFv3,8.509849,10.0198145,-0.41923774184625506,2.2141298447092335,CA1,322.377,199.54,373.06203999999997,2,#fc8d62
SEU-ALLEN_local_17542_11799_11882_6871_CCFv3,8.35611,-0.18111698,3.933563106056559,1.8774452950638139,CA1,325.223,198.234,381.977,1,#66c2a5
SEU-ALLEN_local_17542_11826_12003_6856_CCFv3,9.231077,0.9526614,0.10803014386676149,-0.35962217950819153,CA1,324.632,197.877,380.472,1,#66c2a5
SEU-ALLEN_local_17542_11939_12080_6861_CCFv3,10.831385,11.237382,-1.0283521472268364,-0.23343413084683093,CA1,325.125,196.61900000000003,379.31,2,#fc8d62
SEU-ALLEN_local_17542_12067_11915_6836_CCFv3,4.570337,13.785513,-3.8694568077109,0.14566418483139437,CA1,323.687,194.77700000000002,381.36199999999997,2,#fc8d62
SEU-ALLEN_local_17542_12111_11720_6856_CCFv3,9.79509,14.406548,-0.9684302827100911,0.5255589872997346,CA1,324.47900000000004,194.28,383.67596,2,#fc8d62
SEU-ALLEN_local_17542_20559_41911_6854_CCFv3,0.7767223,22.135742,2.1675595182105347,-0.8767500425012795,CA1,335.539,123.139,371.842,2,#fc8d62
SEU-ALLEN_local_17542_20657_41907_6940_CCFv3,14.282598,7.612777,-0.5466389614317264,-0.34574044827670664,CA1,340.39300000000003,122.76700000000001,371.967,2,#fc8d62
SEU-ALLEN_local_17542_20746_25604_5548_CCFv3,8.777148,4.97865,0.560254469587367,2.5427129419571197,CA1,271.699,93.32600000000001,243.89700000000002,1,#66c2a5
SEU-ALLEN_local_17542_21231_23421_5341_CCFv3,3.8287525,15.154497,-4.4242293628376315,-0.8803204835762042,CA1,261.579,84.363,263.193,2,#fc8d62
SEU-ALLEN_local_17542_21280_22195_5623_CCFv3,11.045675,15.197908,-1.0021765231998327,1.2214781733189097,CA1,276.603,84.602,273.203,2,#fc8d62
SEU-ALLEN_local_17542_21299_22909_5344_CCFv3,12.998391,16.10924,-0.08945917393837373,-0.1760149762346533,CA1,261.961,83.238,267.775,2,#fc8d62
SEU-ALLEN_local_17542_21371_23705_5445_CCFv3,13.954681,17.19844,-0.9527261793166351,-2.9640768123831207,CA1,266.895,83.333,260.226,2,#fc8d62
SEU-ALLEN_local_17542_21434_21948_5378_CCFv3,14.994717,1.6076105,0.03849635312208444,-0.31371489356681176,CA1,264.098,81.36,276.368,2,#fc8d62
SEU-ALLEN_local_17542_21453_17452_6018_CCFv3,11.796905,16.656885,0.6989707118976877,-0.5298145217081853,CA1,298.052,86.265,316.653,2,#fc8d62
SEU-ALLEN_local_17542_21485_17701_5967_CCFv3,10.092149,-4.6455417,4.186113932321655,-1.466462418476209,CA1,295.462,85.44200000000001,314.282,1,#66c2a5
SEU-ALLEN_local_17542_21523_23467_5487_CCFv3,12.956039,18.716635,-0.1018622325302632,-0.34891724225439275,CA1,269.265,81.56,262.121,2,#fc8d62
SEU-ALLEN_local_17542_21532_23037_5379_CCFv3,10.765707,9.10639,0.2998206199691012,1.016005706771184,CA1,263.816,80.65100000000001,266.408,1,#66c2a5
