target_cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
SEU-ALLEN_local_15257_12616_28017_3178_CCFv3.swc,31,16,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12743_11648_2981_CCFv3.swc,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12743_28033_3160_CCFv3.swc,0,0,0,41,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12749_28823_3088_CCFv3.swc,0,0,16,0,0,9,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12750_27682_3064_CCFv3.swc,0,0,12,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12884_10214_3416_CCFv3.swc,11,19,23,6,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_12912_9604_3501_CCFv3.swc,0,0,2,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13119_10912_3130_CCFv3.swc,0,16,12,19,67,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13265_27877_2856_CCFv3.swc,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13280_28857_3256_CCFv3.swc,0,0,0,5,15,3,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13335_10795_3693_CCFv3.swc,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13349_10709_3900_CCFv3.swc,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13469_11303_2853_CCFv3.swc,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13513_28991_3301_CCFv3.swc,0,0,12,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13552_11297_2875_CCFv3.swc,0,0,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13595_9422_4504_CCFv3.swc,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13631_11294_2921_CCFv3.swc,0,0,4,20,34,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13725_11787_3155_CCFv3.swc,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13741_29424_3910_CCFv3.swc,0,0,5,7,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_13783_26634_2977_CCFv3.swc,0,5,17,11,1,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14019_28513_3434_CCFv3.swc,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14265_10754_5174_CCFv3.swc,6,32,39,20,50,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14409_28258_3183_CCFv3.swc,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14462_28256_3661_CCFv3.swc,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14504_28377_3732_CCFv3.swc,0,12,20,24,99,16,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14632_27518_3235_CCFv3.swc,0,42,26,18,41,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14670_9655_5496_CCFv3.swc,0,13,0,0,4,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14720_27247_3136_CCFv3.swc,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14799_10531_3703_CCFv3.swc,0,0,2,0,7,23,39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14803_10486_3669_CCFv3.swc,0,2,15,14,42,7,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14855_12593_3338_CCFv3.swc,3,23,6,6,6,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14868_29130_5287_CCFv3.swc,11,9,36,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14893_26806_3697_CCFv3.swc,0,11,36,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14897_28445_4475_CCFv3.swc,0,0,37,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14968_27312_3235_CCFv3.swc,0,7,53,7,18,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_14996_28572_5669_CCFv3.swc,0,4,14,27,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15049_27133_2900_CCFv3.swc,0,0,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_15052_28940_5133_CCFv3.swc,0,7,8,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
