,region,dist,BIC,major_region
0,FRP,poisson,2226.376234065339,Isocortex
1,FRP,nbinom,2232.9167924907283,Isocortex
2,FRP,geom,2399.3035831147185,Isocortex
3,FRP,logseries,2752.926040135489,Isocortex
4,FRP,dlognorm,2235.7906267980156,Isocortex
0,MOp,poisson,541.7639633256764,Isocortex
1,MOp,nbinom,546.7117549311677,Isocortex
2,MOp,geom,581.8943266981756,Isocortex
3,MOp,logseries,681.9542953279436,Isocortex
4,MOp,dlognorm,549.0237638051308,Isocortex
0,MOs,poisson,1251.3587931094482,Isocortex
1,MOs,nbinom,1257.6171675437215,Isocortex
2,MOs,geom,1351.4499023651595,Isocortex
3,MOs,logseries,1574.0428119730054,Isocortex
4,MOs,dlognorm,1265.0683946974523,Isocortex
0,SSp-n,poisson,499.261467817306,Isocortex
1,SSp-n,nbinom,504.0900827210118,Isocortex
2,SSp-n,geom,536.4895176554668,Isocortex
3,SSp-n,logseries,620.8875458069115,Isocortex
4,SSp-n,dlognorm,506.24756405774224,Isocortex
0,SSp-bfd,poisson,491.86715188379316,Isocortex
1,SSp-bfd,nbinom,496.7009919478532,Isocortex
2,SSp-bfd,geom,529.2804999828492,Isocortex
3,SSp-bfd,logseries,609.6638194792453,Isocortex
4,SSp-bfd,dlognorm,499.07510069488904,Isocortex
0,SSp-ll,poisson,304.4481184191654,Isocortex
1,SSp-ll,nbinom,308.9683109764478,Isocortex
2,SSp-ll,geom,330.17545757247075,Isocortex
3,SSp-ll,logseries,385.17145712124466,Isocortex
4,SSp-ll,dlognorm,311.78735120869385,Isocortex
0,SSp-m,poisson,480.79526307915063,Isocortex
1,SSp-m,nbinom,485.656498017449,Isocortex
2,SSp-m,geom,517.5966096866721,Isocortex
3,SSp-m,logseries,604.108936099262,Isocortex
4,SSp-m,dlognorm,487.77132028179204,Isocortex
0,SSp-ul,poisson,495.67876250879516,Isocortex
1,SSp-ul,nbinom,500.5063810723346,Isocortex
2,SSp-ul,geom,531.2538102478646,Isocortex
3,SSp-ul,logseries,622.1562824632541,Isocortex
4,SSp-ul,dlognorm,503.907425784858,Isocortex
0,SSp-tr,poisson,270.96962543975025,Isocortex
1,SSp-tr,nbinom,275.32339170127034,Isocortex
2,SSp-tr,geom,294.88907205632694,Isocortex
3,SSp-tr,logseries,336.8994965717903,Isocortex
4,SSp-tr,dlognorm,276.3514494667875,Isocortex
0,SSp-un,poisson,433.5900286593973,Isocortex
1,SSp-un,nbinom,438.58860069211585,Isocortex
2,SSp-un,geom,471.92097558725646,Isocortex
3,SSp-un,logseries,548.6737345566669,Isocortex
4,SSp-un,dlognorm,440.84099598273616,Isocortex
0,SSs,poisson,332.1463763880242,Isocortex
1,SSs,nbinom,336.65266875468177,Isocortex
2,SSs,geom,359.08956168638025,Isocortex
3,SSs,logseries,414.41168100433697,Isocortex
4,SSs,dlognorm,338.5728402365554,Isocortex
0,GU,poisson,449.68559787747995,Isocortex
1,GU,nbinom,454.6675198869856,Isocortex
2,GU,geom,489.1277391998474,Isocortex
3,GU,logseries,553.6164030333239,Isocortex
4,GU,dlognorm,458.9966366959428,Isocortex
0,VISC,poisson,282.0498231351286,Isocortex
1,VISC,nbinom,286.47880350584614,Isocortex
2,VISC,geom,307.3613229332472,Isocortex
3,VISC,logseries,348.2070824239292,Isocortex
4,VISC,dlognorm,289.15768867960946,Isocortex
0,AUDd,poisson,225.52614546369688,Isocortex
1,AUDd,nbinom,229.38877302953944,Isocortex
2,AUDd,geom,240.15057731635554,Isocortex
3,AUDd,logseries,276.74398651944375,Isocortex
4,AUDd,dlognorm,230.49424362058411,Isocortex
0,AUDp,poisson,211.38104451679592,Isocortex
1,AUDp,nbinom,215.3284969596152,Isocortex
2,AUDp,geom,227.71936151514527,Isocortex
3,AUDp,logseries,260.43249738990465,Isocortex
4,AUDp,dlognorm,216.96327426363345,Isocortex
0,AUDpo,poisson,187.75222353912628,Isocortex
1,AUDpo,nbinom,191.65099265314362,Isocortex
2,AUDpo,geom,204.07915804635044,Isocortex
3,AUDpo,logseries,229.13800286384756,Isocortex
4,AUDpo,dlognorm,193.1074096930115,Isocortex
0,AUDv,poisson,206.20606262499774,Isocortex
1,AUDv,nbinom,210.0814132658528,Isocortex
2,AUDv,geom,221.73249830207607,Isocortex
3,AUDv,logseries,249.18669334431357,Isocortex
4,AUDv,dlognorm,211.2691253467682,Isocortex
0,VISal,poisson,276.8733178507776,Isocortex
1,VISal,nbinom,281.8311803662768,Isocortex
2,VISal,geom,311.35649954462133,Isocortex
3,VISal,logseries,356.1924732167934,Isocortex
4,VISal,dlognorm,281.8807753960014,Isocortex
0,VISam,poisson,547.9173864158965,Isocortex
1,VISam,nbinom,553.2332332235839,Isocortex
2,VISam,geom,595.1681526560593,Isocortex
3,VISam,logseries,698.7274531158547,Isocortex
4,VISam,dlognorm,556.0217521665664,Isocortex
0,VISl,poisson,240.86013866369206,Isocortex
1,VISl,nbinom,245.1157752058232,Isocortex
2,VISl,geom,261.677493048024,Isocortex
3,VISl,logseries,300.59695490076285,Isocortex
4,VISl,dlognorm,249.43046898639562,Isocortex
0,VISp,poisson,257.6994957637698,Isocortex
1,VISp,nbinom,261.94923569857156,Isocortex
2,VISp,geom,279.1625184800128,Isocortex
3,VISp,logseries,318.1032580800997,Isocortex
4,VISp,dlognorm,264.6910253009318,Isocortex
0,VISpl,poisson,346.8396475232111,Isocortex
1,VISpl,nbinom,351.21681919531505,Isocortex
2,VISpl,geom,372.5228525956542,Isocortex
3,VISpl,logseries,420.89761530480536,Isocortex
4,VISpl,dlognorm,352.6545734757392,Isocortex
0,VISpm,poisson,263.61061102412407,Isocortex
1,VISpm,nbinom,267.9498506344484,Isocortex
2,VISpm,geom,287.3267439428921,Isocortex
3,VISpm,logseries,326.5847930201849,Isocortex
4,VISpm,dlognorm,269.78651225092375,Isocortex
0,VISli,poisson,202.29415854417388,Isocortex
1,VISli,nbinom,206.30767395563896,Isocortex
2,VISli,geom,220.42251453165215,Isocortex
3,VISli,logseries,246.07793300481282,Isocortex
4,VISli,dlognorm,207.60676059151578,Isocortex
0,VISpor,poisson,334.12517514083277,Isocortex
1,VISpor,nbinom,338.4677840142426,Isocortex
2,VISpor,geom,359.2729258235283,Isocortex
3,VISpor,logseries,401.75725960919124,Isocortex
