,swc_id,color,folder
0,SEU-ALLEN_local_17300_24244_18410_5388_CCFv3,#390062,cluster_1
1,SEU-ALLEN_local_17300_24612_19616_5167_CCFv3,#0cce35,cluster_1
2,SEU-ALLEN_local_17300_24910_31532_5034_CCFv3,#8cd0a4,cluster_1
3,SEU-ALLEN_local_17300_25145_31938_5048_CCFv3,#7d6277,cluster_1
4,SEU-ALLEN_local_17300_25590_20787_5613_CCFv3,#7248ad,cluster_1
5,SEU-ALLEN_local_17300_25616_20786_5612_CCFv3,#477183,cluster_1
6,SEU-ALLEN_local_17300_25768_22926_5158_CCFv3,#347a3f,cluster_1
7,SEU-ALLEN_local_17300_25789_32804_5128_CCFv3,#2c833f,cluster_1
8,SEU-ALLEN_local_17300_26286_34540_5108_CCFv3,#d80623,cluster_1
9,SEU-ALLEN_local_17539_19704_5146_5719_CCFv3,#1045d1,cluster_1
10,SEU-ALLEN_local_17539_19845_4952_5621_CCFv3,#0f4194,cluster_1
11,SEU-ALLEN_local_17542_11655_12316_6839_CCFv3,#2ff8d2,cluster_1
12,SEU-ALLEN_local_17542_11799_11882_6871_CCFv3,#6ff151,cluster_1
13,SEU-ALLEN_local_17542_11826_12003_6856_CCFv3,#771f54,cluster_1
14,SEU-ALLEN_local_17542_20746_25604_5548_CCFv3,#0d961f,cluster_1
15,SEU-ALLEN_local_17542_21485_17701_5967_CCFv3,#65ce0c,cluster_1
16,SEU-ALLEN_local_17542_21532_23037_5379_CCFv3,#d6cb4d,cluster_1
17,SEU-ALLEN_local_17542_21540_24434_5921_CCFv3,#70dd97,cluster_1
18,SEU-ALLEN_local_17542_21788_15924_5906_CCFv3,#e5feba,cluster_1
19,SEU-ALLEN_local_17542_21840_15996_5879_CCFv3,#8e6f03,cluster_1
20,SEU-ALLEN_local_17542_21841_16704_5774_CCFv3,#0353ce,cluster_1
21,SEU-ALLEN_local_17542_21922_15911_5914_CCFv3,#51bedd,cluster_1
22,SEU-ALLEN_local_17542_22010_16196_5899_CCFv3,#d860ea,cluster_1
23,SEU-ALLEN_local_17542_22329_21626_6179_CCFv3,#ae3550,cluster_1
24,SEU-ALLEN_local_17542_22340_21302_6193_CCFv3,#8e4527,cluster_1
25,SEU-ALLEN_local_17542_22468_21235_6228_CCFv3,#4f9b02,cluster_1
26,SEU-ALLEN_local_17542_22767_21236_5981_CCFv3,#6e3d9a,cluster_1
27,SEU-ALLEN_local_17542_22794_21679_6218_CCFv3,#ac561e,cluster_1
28,SEU-ALLEN_local_17781_12416_10271_6639_CCFv3,#3454e7,cluster_1
29,SEU-ALLEN_local_17781_6456_33787_6345_CCFv3,#2f7c62,cluster_1
30,SEU-ALLEN_local_17782_39166_12539_6524_CCFv3,#c285d4,cluster_1
31,SEU-ALLEN_local_17782_6611_10745_7213_CCFv3,#3184cf,cluster_1
32,SEU-ALLEN_local_17782_9525_19113_7395_CCFv3,#b7cc25,cluster_1
33,SEU-ALLEN_local_17783_22252_7043_5286_CCFv3,#b01af6,cluster_1
34,SEU-ALLEN_local_17783_22674_6659_5497_CCFv3,#876f47,cluster_1
35,SEU-ALLEN_local_17783_23479_6440_5166_CCFv3,#163f22,cluster_1
36,SEU-ALLEN_local_17785_29409_9825_6174_CCFv3,#eb39bc,cluster_1
37,SEU-ALLEN_local_17785_29654_11133_6232_CCFv3,#3fe936,cluster_1
38,SEU-ALLEN_local_17785_4232_9742_6576_CCFv3,#c1cf42,cluster_1
39,SEU-ALLEN_local_17785_6705_14899_6080_CCFv3,#28587f,cluster_1
40,SEU-ALLEN_local_18047_4340_16434_7619_CCFv3,#961b76,cluster_1
41,SEU-ALLEN_local_18047_4649_17206_7637_CCFv3,#b92839,cluster_1
42,SEU-ALLEN_local_18047_5886_18654_7636_CCFv3,#6273a6,cluster_1
43,SEU-ALLEN_local_18047_5968_18465_7558_CCFv3,#239cbb,cluster_1
44,SEU-ALLEN_local_18047_7999_19323_7355_CCFv3,#17764b,cluster_1
